,Mass,1st ionization E,Atomic radius,Density,Electron affinity,Fusion heart,Thermal conductivity,Valence,Symbol
0,1.01,1312.0,35.0,0.09,72.77,0.12,0.18,1,H
1,4.0,2372.3,31.0,0.18,,0.01,0.15,2,He
2,6.94,520.2,145.0,534.0,59.62,3.0,84.8,1,Li
3,9.01,899.5,105.0,1850.0,,7.9,200.0,2,Be
4,10.8,800.6,85.0,2340.0,26.99,50.2,27.4,3,B
5,12.01,1086.5,70.0,2267.0,121.78,117.0,140.0,4,C
6,14.01,1402.3,65.0,1.25,,0.72,0.03,5,N
7,16.0,1313.9,60.0,1.43,141.0,0.44,0.03,6,O
8,19.0,1681.0,50.0,1.7,328.17,0.51,0.03,7,F
9,20.18,2080.7,38.0,0.9,,0.34,0.05,8,Ne
10,22.99,495.8,180.0,971.0,52.87,2.6,142.0,1,Na
11,24.31,737.7,150.0,1738.0,,8.48,156.0,2,Mg
12,26.98,577.5,125.0,2698.0,41.86,10.71,237.0,3,Al
13,28.09,786.5,110.0,2329.6,134.07,50.21,149.0,4,Si
14,30.97,1011.8,100.0,1820.0,72.03,0.66,0.24,5,P
15,32.07,999.6,100.0,2067.0,200.41,1.73,0.21,6,S
16,35.45,1251.2,100.0,3.21,349.0,6.41,0.01,7,Cl
17,39.95,1520.6,71.0,1.78,,1.18,0.0,8,Ar
18,39.1,418.8,220.0,862.0,48.38,2.32,102.5,1,K
19,40.08,589.8,180.0,1540.0,2.37,8.54,201.0,2,Ca
20,44.96,633.1,160.0,2989.0,18.0,14.1,15.8,3,Sc
21,47.87,658.8,140.0,4540.0,8.4,14.15,21.9,4,Ti
22,50.94,650.9,135.0,6110.0,51.0,21.5,30.7,5,V
23,52.0,652.9,140.0,7150.0,65.2,21.0,93.9,6,Cr
24,54.94,717.3,140.0,7440.0,,12.91,7.81,7,Mn
25,55.85,762.5,140.0,7874.0,14.6,13.81,80.4,8,Fe
26,58.93,760.4,135.0,8860.0,64.0,16.06,100.0,9,Co
27,58.69,737.1,135.0,8912.0,111.6,17.48,90.9,10,Ni
