# atomic_number compound  space_group  mass  H_rate  V  P  NF  lambda  omega_log  mu_star  Tc  memo
# ---  ---  ---  mass/atom  ---  a.u.3/atom  GPa  state/Ry/atom  ---  K  ---  K  ---
#
16  H5S2    1   9.88167642857  0.71428571428  29.82605   100    ---     1.0786   902.09  0.17    49.5486    T. Ishikawa et al., Sci. Rep. 6, 23160 (2016).
16  H5S2    1   9.88167642857  0.71428571428  28.82115   112    1.0566  1.1857   897.9   0.17    58.3099    T. Ishikawa et al., Sci. Rep. 6, 23160 (2016).
16  H5S2    1   9.88167642857  0.71428571428  28.21919   120    ---     1.2390   907.0   0.17    63.2085    T. Ishikawa et al., Sci. Rep. 6, 23160 (2016).
16  H5S2    1   9.88167642857  0.71428571428  27.53232   130    ---     1.2417   950.7   0.17    66.4768    T. Ishikawa et al., Sci. Rep. 6, 23160 (2016).
16  H5S2    1   9.88167642857  0.71428571428  26.91236   140    ---     1.2597   968.93  0.17    69.2659    T. Ishikawa et al., Sci. Rep. 6, 23160 (2016).
16  H5S2    1   9.88167642857  0.71428571428  26.33986   150    ---     1.3581   900.87  0.17    71.8175    T. Ishikawa et al., Sci. Rep. 6, 23160 (2016).
16  H3S   160   8.77246025     0.75           ---        130    ---     2.07    1125.1   0.13   155         D. Duan et al., Sci. Rep. 4, 6968 (2014).
16  H3S   160   8.77246025     0.75           ---        130    ---     2.07    1125.1   0.10   166         D. Duan et al., Sci. Rep. 4, 6968 (2014).
16  H3S   229   8.77246025     0.75           ---        200    ---     2.19    1334.6   0.13   191         D. Duan et al., Sci. Rep. 4, 6968 (2014).
16  H3S   229   8.77246025     0.75           ---        200    ---     2.19    1334.6   0.10   204         D. Duan et al., Sci. Rep. 4, 6968 (2014).
16  H3S   229   8.77246025     0.75           ---        250    ---     ---     ---      0.13   184         D. Duan et al., Sci. Rep. 4, 6968 (2014).
16  H3S   229   8.77246025     0.75           ---        300    ---     ---     ---      0.13   179         D. Duan et al., Sci. Rep. 4, 6968 (2014).
16  H2S     2  11.3606313333   0.66666666666  ---        130    ---     ---     ---      0.13    33.0104    Y. Li et al., J. Chem. Phys. 140, 174712 (2014).
16  H2S     2  11.3606313333   0.66666666666  ---        140    ---     ---     ---      0.13     40        Y. Li et al., J. Chem. Phys. 140, 174712 (2014).
16  H2S     2  11.3606313333   0.66666666666  ---        150    ---     ---     ---      0.13     56.1245   Y. Li et al., J. Chem. Phys. 140, 174712 (2014).
16  H2S     2  11.3606313333   0.66666666666  ---        158.0  ---     ---     ---      0.13     60.2076   Y. Li et al., J. Chem. Phys. 140, 174712 (2014).
16  H2S    64  11.3606313333   0.66666666666  ---        160    ---     ---     ---      0.13     82.1453   Y. Li et al., J. Chem. Phys. 140, 174712 (2014).
16  H2S    64  11.3606313333   0.66666666666  ---        170    ---     ---     ---      0.13     78.1315   Y. Li et al., J. Chem. Phys. 140, 174712 (2014).
16  H2S    64  11.3606313333   0.66666666666  ---        180    ---     ---     ---      0.13     68.2353   Y. Li et al., J. Chem. Phys. 140, 174712 (2014).
16  H4S3   62  14.3185411429   0.57142857142  35.15710   140    0.09    0.42     834     0.16     0.75      Y. Li et al., PRB 93, 020103(R) (2016).
16  HS2    15  21.7133156667   0.33333333333  40.49341   200    ---     0.86     657.72  0.16    23.4       I. Errea et al., PRL 114, 157004 (2015).
16  HS2    12  21.7133156667   0.33333333333  37.66226   250    ---     0.75     624.08  0.16    14.9       I. Errea et al., PRL 114, 157004 (2015).
16  HS     12  16.5369735      0.5            28.74261   300    ---     0.78     861.88  0.16    23.4       I. Errea et al., PRL 114, 157004 (2015).
8  O4H2   58  11.0023         0.3333         30.2349    100    1.3622  0.5649   800.3   0.1     15.1314    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         30.2349    100    1.3622  0.5649   800.3   0.13    10.2054    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         30.2349    100    1.3622  0.5649   800.3   0.15     7.4740    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         25.4832    200    1.1255  0.4816   990.8   0.1     10.3380    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         25.4832    200    1.1255  0.4816   990.8   0.13     5.9911    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         25.4832    200    1.1255  0.4816   990.8   0.15     3.8353    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         23.9786    250    1.0630  0.4774  1051.7   0.1     10.5722    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         23.9786    250    1.0630  0.4774  1051.7   0.13     6.0633    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         23.9786    250    1.0630  0.4774  1051.7   0.15     3.8448    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         22.7878    300    1.0202  0.4524  1095.0   0.1      8.6609    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         22.7878    300    1.0202  0.4524  1095.0   0.13     4.6323    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         22.7878    300    1.0202  0.4524  1095.0   0.15     2.7546    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         19.6414    500    0.9342  0.4696  1277.6   0.1     11.9637    By A. Nakanishi
8  O4H2   58  11.0023         0.3333         19.6414    500    0.9342  0.4696  1277.6   0.13     6.7245    By A. Nakanishi
