formula,P,Tc,AD
BeH9,500,92,1
BH9,500,92,1
LiH9,500,92,1
H9N,500,91,1
H9O,500,91,1
H9F,500,91,1
NaH9,500,91,1
H9C,500,91,1
MgH9,500,91,1
H9S,500,90,1
H9N,300,90,1
LiH9,300,90,1
BeH9,250,90,1
LiH9,250,90,1
BH9,300,90,1
BeH9,300,90,1
KH9,500,90,1
H9C,300,90,1
PH9,500,90,1
CaH9,500,90,1
AlH9,500,90,1
SiH9,500,90,1
H9Cl,500,90,1
PH9,400,89,1
LiH9,150,89,1
LiH9,200,89,1
BH9,250,89,1
PH9,300,89,1
MgH9,300,89,1
MgH9,250,89,1
BH9,200,89,1
BH9,150,89,1
TiH9,500,89,1
MnH9,500,89,1
H9N,200,89,1
H9N,250,89,1
AlH9,300,89,1
H9Cl,400,89,1
CrH9,500,89,1
H9S,400,89,1
NaH9,250,89,1
NaH9,300,89,1
KH9,400,89,1
H9F,200,89,1
H9F,250,89,1
H9F,300,89,1
NiH9,500,89,1
CaH9,400,89,1
CoH9,500,89,1
H9C,250,89,1
H9C,200,89,1
VH9,500,89,1
SiH9,300,89,1
ScH9,400,89,1
H9O,300,89,1
BeH9,150,89,1
ScH9,500,89,1
H9O,250,89,1
H9O,200,89,1
BeH9,200,89,1
FeH9,500,89,1
MgH9,200,88,1
ZnH9,500,88,1
H9Se,500,88,1
H9C,100,88,1
CoH9,400,88,1
TiH9,300,88,1
CrH9,400,88,1
MnH9,400,88,1
MgH9,150,88,1
NiH9,400,88,1
TiH9,400,88,1
H9Cl,300,88,1
VH9,400,88,1
VH9,300,88,1
CuH9,500,88,1
H9O,150,88,1
H9O,100,88,1
H9S,300,88,1
H9S,250,88,1
H9S,200,88,1
CuH9,400,88,1
BeH9,100,88,1
H9Cl,250,88,1
SiH9,250,88,1
SiH9,200,88,1
LiH9,100,88,1
KH9,250,88,1
KH9,300,88,1
ScH9,300,88,1
FeH9,400,88,1
GaH9,500,88,1
NaH9,150,88,1
AsH9,500,88,1
NaH9,200,88,1
H9F,100,88,1
H9F,150,88,1
CaH9,300,88,1
H9C,150,88,1
BH9,100,88,1
GeH9,500,88,1
PH9,200,88,1
AlH9,250,88,1
PH9,250,88,1
AlH9,150,88,1
H9Br,500,88,1
AlH9,200,88,1
H9N,100,88,1
H9N,150,88,1
NiH9,300,87,1
SiH9,100,87,1
CaH9,250,87,1
CaH9,200,87,1
H9S,150,87,1
CuH9,300,87,1
CaH9,150,87,1
SiH9,50,87,1
H9S,100,87,1
CoH9,250,87,1
H9Se,400,87,1
SiH9,150,87,1
AsH9,400,87,1
CoH9,300,87,1
GaH9,400,87,1
RbH9,500,87,1
CrH9,200,87,1
CrH9,250,87,1
CrH9,300,87,1
RbH9,400,87,1
ZnH9,400,87,1
H9Cl,200,87,1
ZnH9,300,87,1
KH9,150,87,1
MnH9,300,87,1
MnH9,250,87,1
KH9,200,87,1
SrH9,500,87,1
ScH9,250,87,1
ScH9,200,87,1
ScH9,150,87,1
H9Br,400,87,1
AlH9,100,87,1
AlH9,50,87,1
MgH9,50,87,1
GeH9,400,87,1
TiH9,250,87,1
VH9,200,87,1
VH9,250,87,1
FeH9,300,87,1
FeH9,250,87,1
NaH9,50,87,1
H9Cl,150,87,1
TiH9,200,87,1
NaH9,100,87,1
H9Cl,100,87,1
PH9,100,87,1
PH9,150,87,1
MgH9,100,87,1
CrH9,100,86,1
AsH9,300,86,1
MnH9,150,86,1
MnH9,100,86,1
ScH9,100,86,1
NbH9,400,86,1
CaH9,50,86,1
SrH9,400,86,1
PH9,50,86,1
AsH9,250,86,1
GaH9,250,86,1
YH9,400,86,1
MnH9,200,86,1
GaH9,200,86,1
CaH9,100,86,1
CrH9,150,86,1
SrH9,300,86,1
H9S,50,86,1
GaH9,300,86,1
CuH9,150,86,1
CuH9,200,86,1
TcH9,400,86,1
GeH9,300,86,1
GeH9,250,86,1
GeH9,200,86,1
FeH9,200,86,1
FeH9,150,86,1
CoH9,150,86,1
CoH9,200,86,1
H9Se,300,86,1
H9Se,250,86,1
MoH9,400,86,1
H9Cl,50,86,1
KH9,100,86,1
KH9,50,86,1
ZrH9,400,86,1
ScH9,50,86,1
CuH9,250,86,1
NiH9,250,86,1
NiH9,200,86,1
NiH9,150,86,1
H9Br,300,86,1
H9Br,250,86,1
ZnH9,250,86,1
