formula,P,Tc,AD
CaH10,0,130,1
FeH10,0,130,1
KH10,0,130,1
NiH10,0,130,1
CoH10,0,130,1
GeH10,0,129,1
GeH10,0,129,1
ScH10,0,129,1
ScH10,0,129,1
YH10,0,129,1
AsH10,0,129,1
AsH10,0,129,1
PH10,0,129,1
ZrH10,0,129,1
CoH10,0,129,1
ZnH10,0,129,1
ZnH10,0,129,1
KH10,0,129,1
CrH10,0,129,1
CrH10,0,129,1
MnH10,0,129,1
CuH10,0,129,1
MnH10,0,129,1
PH10,0,129,1
FeH10,0,129,1
RbH10,0,129,1
CuH10,0,129,1
NiH10,0,129,1
NbH10,0,129,1
VH10,0,129,1
VH10,0,129,1
SrH10,0,129,1
TiH10,0,129,1
TiH10,0,129,1
CaH10,0,129,1
GaH10,0,129,1
GaH10,0,129,1
NbH10,0,128,1
YH10,0,128,1
TiH10,0,128,1
CuH10,0,128,1
CuH10,0,128,1
ZrH10,0,128,1
VH10,0,128,1
AgH10,0,128,1
KH10,0,128,1
CoH10,0,128,1
KH10,0,128,1
CoH10,0,128,1
AsH10,0,128,1
FeH10,0,128,1
SrH10,0,128,1
SrH10,0,128,1
CaH10,0,128,1
CaH10,0,128,1
RbH10,0,128,1
RbH10,0,128,1
GaH10,0,128,1
MoH10,0,128,1
TcH10,0,128,1
TcH10,0,128,1
FeH10,0,128,1
MoH10,0,128,1
NiH10,0,128,1
ZnH10,0,128,1
MnH10,0,128,1
CrH10,0,128,1
NiH10,0,128,1
ScH10,0,128,1
ScH10,0,128,1
GeH10,0,128,1
NbH10,0,127,1
VH10,0,127,1
NiH10,0,127,1
MnH10,0,127,1
MnH10,0,127,1
RbH10,0,127,1
CoH10,0,127,1
CdH10,0,127,1
NbH10,0,127,1
CdH10,0,127,1
MoH10,0,127,1
GeH10,0,127,1
GeH10,0,127,1
AsH10,0,127,1
CrH10,0,127,1
AsH10,0,127,1
CrH10,0,127,1
ZnH10,0,127,1
ZnH10,0,127,1
MoH10,0,127,1
TcH10,0,127,1
TcH10,0,127,1
AgH10,0,127,1
AgH10,0,127,1
FeH10,0,127,1
FeH10,0,127,1
CuH10,0,127,1
ZrH10,0,127,1
TiH10,0,127,1
CsH10,0,127,1
PrH10,0,127,1
GaH10,0,127,1
GaH10,0,127,1
SnH10,0,127,1
SnH10,0,127,1
YH10,0,127,1
CeH10,0,127,1
TeH10,0,127,1
LaH10,0,127,1
BaH10,0,127,1
SbH10,0,127,1
YH10,0,127,1
SbH10,0,127,1
SrH10,0,127,1
InH10,0,127,1
InH10,0,127,1
ZrH10,0,127,1
YH10,0,126,1
ZnH10,0,126,1
MoH10,0,126,1
