formula,P,Tc,AD
AsH10,0,310,1
AsH10,0,310,1
AsH10,0,310,1
SnH10,0,310,1
YH9,0,310,1
YH9,0,310,1
CdH10,0,310,1
GeH10,0,310,1
CuH10,0,310,1
CuH10,0,310,1
CuH10,0,310,1
SrH9,0,310,1
SrH9,0,310,1
RbH9,0,310,1
RbH10,0,310,1
RbH10,0,310,1
RbH10,0,310,1
GeH10,0,310,1
GeH10,0,310,1
YH9,0,310,1
ZrH10,0,310,1
ZrH10,0,310,1
ZrH10,0,310,1
InH10,0,310,1
ZrH9,0,310,1
ZrH9,0,310,1
ZrH9,0,310,1
MoH10,0,310,1
YH10,0,310,1
AgH9,0,310,1
MoH9,0,310,1
MoH9,0,310,1
MoH9,0,310,1
MoH10,0,310,1
MoH10,0,310,1
YH10,0,310,1
YH10,0,310,1
SrH9,0,310,1
TcH9,0,310,1
SrH10,0,310,1
NbH10,0,310,1
ZnH10,0,310,1
ZnH10,0,310,1
SrH10,0,310,1
ZnH10,0,310,1
TcH10,0,310,1
NiH10,0,310,1
NbH10,0,310,1
NbH10,0,310,1
GaH10,0,310,1
GaH10,0,310,1
TcH10,0,310,1
TcH9,0,310,1
GaH10,0,310,1
TcH9,0,310,1
TcH10,0,310,1
NiH10,0,310,1
SrH10,0,310,1
AgH10,0,310,1
AgH10,0,310,1
NbH9,0,310,1
NbH9,0,310,1
AgH10,0,310,1
NbH9,0,310,1
NbH9,0,267,1
YH10,0,267,1
MoH9,0,267,1
NbH9,0,267,1
MoH9,0,267,1
NbH9,0,267,1
MoH9,0,267,1
MoH9,0,267,1
NbH8,0,267,1
NbH10,0,267,1
ZrH10,0,267,1
MoH10,0,267,1
MoH9,0,267,1
SrH9,0,267,1
GeH9,0,267,1
SrH9,0,267,1
GeH9,0,267,1
GeH9,0,267,1
SrH9,0,267,1
YH8,0,267,1
YH8,0,267,1
SrH10,0,267,1
GaH9,0,267,1
GaH9,0,267,1
YH9,0,267,1
YH9,0,267,1
MoH8,0,267,1
YH9,0,267,1
YH9,0,267,1
SrH9,0,267,1
MoH8,0,267,1
SrH8,0,267,1
SrH8,0,267,1
InH9,0,267,1
NbH9,0,267,1
RbH10,0,267,1
RbH9,0,267,1
RbH9,0,267,1
CuH9,0,267,1
CuH9,0,267,1
CdH9,0,267,1
RbH9,0,267,1
RbH9,0,267,1
ZnH9,0,267,1
ZnH9,0,267,1
RbH8,0,267,1
RbH8,0,267,1
TcH9,0,267,1
TcH9,0,267,1
TcH9,0,267,1
TcH9,0,267,1
TcH9,0,267,1
TcH10,0,267,1
TcH8,0,267,1
NbH9,0,267,1
AgH9,0,267,1
AgH9,0,267,1
ZrH8,0,267,1
AgH9,0,267,1
ZrH9,0,267,1
ZrH9,0,267,1
AsH9,0,267,1
AsH9,0,267,1
ZrH9,0,267,1
ZrH9,0,267,1
AsH9,0,267,1
SrH10,0,265,1
NbH10,0,265,1
NbH10,0,265,1
NbH10,0,265,1
MoH10,0,265,1
ZnH10,0,265,1
SrH10,0,265,1
AsH10,0,265,1
SrH10,0,265,1
ZnH10,0,265,1
TcH10,0,265,1
TcH10,0,265,1
TcH10,0,265,1
ZrH10,0,265,1
ZrH10,0,265,1
ZrH10,0,265,1
GaH10,0,265,1
GaH10,0,265,1
ZnH10,0,265,1
GaH10,0,265,1
