,Tc,Z1,Z2,N1,N2,P
0,49.5486,1.0,16.0,5.0,2.0,100.0
1,58.3099,1.0,16.0,5.0,2.0,112.0
2,63.2085,1.0,16.0,5.0,2.0,120.0
3,66.4768,1.0,16.0,5.0,2.0,130.0
4,69.2659,1.0,16.0,5.0,2.0,140.0
5,71.8175,1.0,16.0,5.0,2.0,150.0
6,155.0,1.0,16.0,3.0,1.0,130.0
7,166.0,1.0,16.0,3.0,1.0,130.0
8,191.0,1.0,16.0,3.0,1.0,200.0
9,204.0,1.0,16.0,3.0,1.0,200.0
10,184.0,1.0,16.0,3.0,1.0,250.0
11,179.0,1.0,16.0,3.0,1.0,300.0
12,33.0104,1.0,16.0,2.0,1.0,130.0
13,40.0,1.0,16.0,2.0,1.0,140.0
14,56.1245,1.0,16.0,2.0,1.0,150.0
15,60.2076,1.0,16.0,2.0,1.0,158.0
16,82.1453,1.0,16.0,2.0,1.0,160.0
17,78.1315,1.0,16.0,2.0,1.0,170.0
18,68.2353,1.0,16.0,2.0,1.0,180.0
19,0.75,1.0,16.0,4.0,3.0,140.0
20,23.4,1.0,16.0,1.0,2.0,200.0
21,14.9,1.0,16.0,1.0,2.0,250.0
22,23.4,1.0,16.0,1.0,1.0,300.0
23,15.1314,8.0,1.0,4.0,2.0,100.0
24,10.2054,8.0,1.0,4.0,2.0,100.0
25,7.474,8.0,1.0,4.0,2.0,100.0
26,10.338,8.0,1.0,4.0,2.0,200.0
27,5.9911,8.0,1.0,4.0,2.0,200.0
28,3.8353,8.0,1.0,4.0,2.0,200.0
29,10.5722,8.0,1.0,4.0,2.0,250.0
30,6.0633,8.0,1.0,4.0,2.0,250.0
31,3.8448,8.0,1.0,4.0,2.0,250.0
32,8.6609,8.0,1.0,4.0,2.0,300.0
33,4.6323,8.0,1.0,4.0,2.0,300.0
34,2.7546,8.0,1.0,4.0,2.0,300.0
35,11.9637,8.0,1.0,4.0,2.0,500.0
36,6.7245,8.0,1.0,4.0,2.0,500.0
37,4.1863,8.0,1.0,4.0,2.0,500.0
38,74.38,14.0,1.0,1.0,4.0,70.0
39,20.55,14.0,1.0,1.0,4.0,150.0
40,27.26,14.0,1.0,1.0,4.0,200.0
41,50.41,14.0,1.0,1.0,4.0,250.0
42,29.3617,14.0,1.0,1.0,4.0,300.0
43,18.2979,14.0,1.0,1.0,4.0,340.0
44,13.4043,14.0,1.0,1.0,4.0,380.0
45,31.0638,14.0,1.0,1.0,4.0,400.0
46,21.9149,14.0,1.0,1.0,4.0,500.0
47,21.2766,14.0,1.0,1.0,4.0,600.0
48,107.234,14.0,1.0,1.0,4.0,610.0
49,97.6596,14.0,1.0,1.0,4.0,700.0
50,84.2553,14.0,1.0,1.0,4.0,800.0
51,37.9856,39.0,1.0,1.0,3.0,17.6
52,36.3669,39.0,1.0,1.0,3.0,23.0
53,8.8849,39.0,1.0,1.0,3.0,28.9
54,6.7626,39.0,1.0,1.0,3.0,51.9
55,6.1151,39.0,1.0,1.0,3.0,62.1
56,4.8561,39.0,1.0,1.0,3.0,67.5
57,3.741,39.0,1.0,1.0,3.0,73.1
58,34.4604,39.0,1.0,1.0,3.0,17.6
59,31.8705,39.0,1.0,1.0,3.0,23.0
60,5.8633,39.0,1.0,1.0,3.0,28.9
61,3.6691,39.0,1.0,1.0,3.0,51.9
62,3.2374,39.0,1.0,1.0,3.0,62.1
63,2.3381,39.0,1.0,1.0,3.0,67.5
64,1.6187,39.0,1.0,1.0,3.0,73.1
65,14.5,78.0,1.0,1.0,1.0,100.0
66,11.8,78.0,1.0,1.0,1.0,100.0
67,24.0,78.0,1.0,1.0,1.0,77.0
68,23.0,78.0,1.0,1.0,1.0,85.0
69,19.0,78.0,1.0,1.0,1.0,85.0
70,16.0,78.0,1.0,1.0,1.0,105.0
71,12.0,78.0,1.0,1.0,1.0,105.0
72,2.1,45.0,1.0,1.0,1.0,4.8
