formula,P,Tc,AD
YH9,100,256,1
YH9,150,256,1
YH9,200,254,1
YH9,250,253,1
YH10,200,252,1
YH9,300,251,1
YH10,100,251,1
YH10,300,251,1
YH6,100,251,1
YH10,150,250,1
YH10,250,250,1
YH6,150,245,1
YH6,200,243,1
SmH10,200,242,1
YH6,250,242,1
YH6,300,242,1
SmH10,250,241,1
SmH10,300,237,1
SmH10,150,234,1
DyH6,100,229,1
DyH6,150,227,1
DyH6,200,224,1
DyH6,300,223,1
DyH6,250,223,1
SmH10,100,221,1
LaH10,200,219,1
NdH10,200,217,1
YH7,100,217,1
LaH10,250,217,1
SmH9,200,216,1
SmH9,250,215,1
NdH10,250,215,1
NdH10,300,214,1
SmH9,300,214,1
YH7,150,214,1
LaH10,300,213,1
YH7,300,212,1
YH7,200,212,1
SmH6,100,211,1
SmH6,150,211,1
YH7,250,211,1
NdH9,200,210,1
NdH9,250,209,1
LaH10,150,208,1
SmH6,200,208,1
NdH9,300,208,1
SmH9,150,208,1
YH5,100,208,1
SmH6,250,208,1
SmH7,300,207,1
SmH7,150,206,1
SmH7,200,206,1
NdH10,150,206,1
SmH7,250,205,1
TbH6,150,205,1
SmH7,100,205,1
SmH6,300,205,1
SmH9,100,203,1
TbH6,200,203,1
TbH6,100,203,1
TbH6,250,202,1
TbH6,300,201,1
NdH9,150,200,1
NdH6,150,199,1
NdH6,100,198,1
NdH6,200,196,1
LaH10,100,195,1
NdH6,250,195,1
NdH7,300,194,1
DyH10,200,194,1
NdH10,100,194,1
NdH7,200,194,1
TbH10,200,194,1
DyH10,250,193,1
AsH10,250,193,1
TbH10,250,193,1
DyH10,300,193,1
NdH7,250,193,1
NdH6,300,193,1
TbH10,300,192,1
YH8,150,191,1
AsH10,200,191,1
NdH7,150,191,1
YH8,100,190,1
YH5,150,189,1
YH5,200,189,1
DyH10,150,189,1
AsH10,300,189,1
YH8,200,189,1
NdH7,100,189,1
NdH9,100,188,1
H3S,200,188,1
YH8,300,188,1
YH8,250,188,1
YH5,250,188,1
YH5,300,188,1
TbH10,150,186,1
H3S,250,185,1
DyH10,100,184,1
SmH8,200,183,1
AsH10,150,183,1
SmH8,250,182,1
SmH8,300,182,1
AsH9,250,182,1
H3S,300,181,1
TbH10,100,181,1
AsH9,300,179,1
AsH9,200,178,1
AsH9,150,176,1
SmH8,150,175,1
AsH10,100,173,1
CaH6,300,170,1
CaH7,300,170,1
SmH8,100,170,1
CaH7,200,169,1
NdH8,200,169,1
TbH8,150,168,1
DyH8,150,168,1
H3S,150,168,1
AsH9,100,168,1
NdH8,250,168,1
CaH6,200,167,1
NdH8,300,167,1
CaH7,250,167,1
CaH6,250,166,1
TbH7,150,166,1
TbH8,100,166,1
TbH8,200,166,1
DyH7,150,166,1
DyH8,100,166,1
DyH8,200,166,1
CaH6,150,165,1
