formula,P,Tc,AD
YH10,300,231,1
YH10,250,229,1
YH10,200,227,1
YH10,150,225,1
YH10,100,223,1
YH9,300,220,1
YH9,250,218,1
YH9,200,215,1
YH9,150,213,1
YH9,100,211,1
YH8,300,205,1
YH8,250,203,1
YH8,200,201,1
YH8,150,199,1
NdH10,300,198,1
YH8,100,197,1
NdH10,250,196,1
SmH10,300,194,1
NdH10,200,194,1
NdH10,150,192,1
SmH10,250,191,1
BaH9,300,190,1
SmH10,200,189,1
NdH10,100,189,1
BaH9,250,188,1
NdH9,300,188,1
YH7,300,187,1
TiH10,300,187,1
SmH10,150,187,1
NdH9,250,186,1
BaH9,200,186,1
YH7,250,185,1
TiH10,250,185,1
SmH10,100,185,1
SmH9,300,184,1
NdH9,200,184,1
BaH9,150,184,1
TiH10,200,183,1
YH7,200,183,1
BaH9,100,182,1
SmH9,250,182,1
NdH9,150,181,1
YH7,150,181,1
SmH9,200,180,1
TiH10,150,180,1
YH7,100,179,1
NdH9,100,179,1
TiH10,100,178,1
TiH9,300,178,1
SmH9,150,178,1
BaH8,300,177,1
TiH9,250,176,1
NdH8,300,176,1
SmH9,100,175,1
BaH8,250,174,1
NdH8,250,174,1
TiH9,200,174,1
AsH10,300,173,1
ScH10,300,172,1
TiH9,150,172,1
BaH8,200,172,1
SmH8,300,172,1
AsH10,250,171,1
NdH8,200,171,1
AsH9,300,170,1
BaH8,150,170,1
SmH8,250,170,1
ScH10,250,170,1
TiH9,100,170,1
NdH8,150,169,1
AsH10,200,169,1
SmH8,200,168,1
AsH9,250,168,1
BaH8,100,168,1
ScH10,200,168,1
AsH10,150,167,1
NdH8,100,167,1
SrH8,250,167,1
ScH10,150,166,1
TiH8,300,166,1
SmH8,150,166,1
AsH9,200,166,1
AsH10,100,165,1
SrH8,200,165,1
AsH8,300,165,1
ScH9,300,165,1
AsH9,150,164,1
ScH10,100,164,1
TiH8,250,164,1
SmH8,100,164,1
SrH8,150,163,1
ScH9,250,163,1
YH6,300,163,1
TiH8,200,162,1
CaH7,300,162,1
AsH9,100,162,1
AsH8,250,162,1
YH6,250,161,1
ScH9,200,161,1
NdH7,300,161,1
SrH8,100,161,1
AsH8,200,160,1
BaH7,300,160,1
CaH7,250,160,1
TiH8,150,160,1
NdH7,250,159,1
ScH9,150,159,1
YH6,200,159,1
TiH8,100,158,1
AsH8,150,158,1
BaH7,250,158,1
SmH7,300,158,1
CaH7,200,158,1
ScH9,100,157,1
NdH7,200,157,1
SrH7,300,157,1
YH6,150,157,1
ScH8,300,156,1
CaH7,150,156,1
AsH8,100,156,1
SmH7,250,156,1
BaH7,200,156,1
