formula,P,Tc,AD
YH9,150,260,1
YH10,250,254,1
YH10,300,244,1
LaH10,250,222,1
LaH10,300,205,1
H3S,200,197,1
H3S,250,183,1
H3S,300,178,1
ScH7,300,168,1
LaH6,100,162,1
ScH9,300,162,1
LaH8,300,122,1
ScH10,250,119,1
ScH8,300,117,1
H3Se,200,115,1
H3Se,250,110,1
H3Se,300,109,1
ScH4,200,104,1
ScH6,200,103,1
BiH5,300,103,1
SbH4,150,102,1
H8Pb,200,102,1
SbH4,200,102,1
SbH4,250,99,1
BiH6,300,96,1
ScH6,300,94,1
SbH4,300,93,1
BiH6,250,91,1
ScH4,300,90,1
BiH5,200,89,1
BiH5,250,84,1
TeH4,200,84,1
BiH6,200,83,1
PH3,200,82,1
LiH6,300,81,1
ScH4,250,79,1
BiH4,150,78,1
BiH4,200,75,1
H5S2,150,71,1
BiH4,250,67,1
BiH4,300,64,1
PH2,200,60,1
GeH4,300,57,1
SnH4,200,57,1
H2S,150,56,1
BiH2,300,55,1
LiH6,250,54,1
CeH10,200,54,1
YH4,200,54,1
BiH2,250,53,1
GeH4,250,52,1
KH6,300,51,1
CeH9,100,50,1
BiH2,200,50,1
SiH4,250,50,1
H5S2,100,49,1
TeH4,300,49,1
BiH2,150,48,1
FeH5,200,47,1
PoH4,200,44,1
NbH4,300,42,1
PH2,150,42,1
Te2H5,200,42,1
LiH6,200,41,1
PH2,100,40,1
HSe,250,38,1
LiH6,150,38,1
H6Se,300,37,1
LiH8,200,36,1
H6Se,150,35,1
TeH,300,35,1
BH,100,35,1
LiH8,150,34,1
BaH6,100,33,1
Te2H5,300,32,1
HSe,300,32,1
LiH8,100,31,1
SiH4,300,29,1
ScH6,250,28,1
SiH4,200,27,1
BiH,250,26,1
H6Se,200,25,1
SbH3,300,25,1
HS2,200,23,1
HS,300,23,1
BH,150,22,1
AsH,300,21,1
SiH4,150,20,1
TeH,150,19,1
H4I,150,17,1
ScH6,150,17,1
BiH,300,16,1
HCl,250,16,1
BH,200,15,1
H4I,100,14,1
HS2,250,14,1
HPt,100,13,1
HO2,100,10,1
TeH,200,10,1
TcH3,300,8,1
PH3,100,8,1
TcH2,200,8,1
LaH4,300,7,1
HO2,200,6,1
H2I,100,6,1
TcH2,300,6,1
HO2,250,6,1
HO2,300,5,1
TcH2,100,4,1
TcH2,150,4,1
HC,200,3,1
PoH6,200,3,1
ScH2,300,3,1
YH3,200,2,1
SbH,250,2,1
SbH,300,1,1
NdH4,300,0,1
LaH4,250,0,1
NdH5,100,0,1
NdH5,150,0,1
NdH5,200,0,1
NdH4,250,0,1
NdH4,200,0,1
NdH4,150,0,1
NdH4,100,0,1
Pr2H7,300,0,1
LaH5,150,0,1
PrH10,300,0,1
PrH10,250,0,1
PrH10,200,0,1
PrH10,150,0,1
Pr2H9,100,0,1
Pr2H9,300,0,1
Pr2H9,250,0,1
Pr2H9,200,0,1
Pr2H9,150,0,1
LaH5,100,0,1
LaH4,150,0,1
Pr2H7,250,0,1
Pr2H7,200,0,1
Pr2H7,150,0,1
Pr2H7,100,0,1
LaH4,200,0,1
LaH8,250,0,1
LaH4,100,0,1
Nd2H9,300,0,1
Nd2H9,250,0,1
Nd2H9,200,0,1
Nd2H9,150,0,1
Nd2H9,100,0,1
Nd2H7,300,0,1
Nd2H7,250,0,1
Nd2H7,200,0,1
PmH4,250,0,1
PmH4,200,0,1
PmH4,150,0,1
PmH4,100,0,1
NdH6,300,0,1
NdH7,300,0,1
NdH7,250,0,1
NdH7,200,0,1
NdH7,150,0,1
NdH7,100,0,1
PrH9,300,0,1
NdH6,250,0,1
NdH6,200,0,1
NdH6,150,0,1
NdH6,100,0,1
NdH5,300,0,1
NdH5,250,0,1
NdH8,100,0,1
NdH10,300,0,1
NdH10,250,0,1
NdH10,200,0,1
NdH10,150,0,1
NdH10,100,0,1
NdH9,300,0,1
NdH9,250,0,1
NdH9,200,0,1
NdH9,150,0,1
NdH9,100,0,1
NdH8,300,0,1
NdH8,250,0,1
NdH8,200,0,1
NdH8,150,0,1
PrH10,100,0,1
PrH6,300,0,1
PrH9,250,0,1
CeH4,300,0,1
CeH4,200,0,1
LaH7,100,0,1
LaH7,150,0,1
LaH7,200,0,1
CeH4,150,0,1
CeH4,100,0,1
LaH7,250,0,1
LaH7,300,0,1
CeH4,250,0,1
CeH5,100,0,1
PrH9,200,0,1
CeH5,150,0,1
CeH8,250,0,1
CeH8,200,0,1
CeH8,150,0,1
CeH8,100,0,1
CeH7,300,0,1
CeH7,250,0,1
CeH7,200,0,1
CeH7,150,0,1
CeH7,100,0,1
CeH6,300,0,1
CeH6,250,0,1
CeH6,200,0,1
CeH6,150,0,1
CeH6,100,0,1
CeH5,300,0,1
CeH5,250,0,1
CeH5,200,0,1
LaH8,100,0,1
LaH10,200,0,1
LaH8,150,0,1
LaH10,150,0,1
LaH10,100,0,1
LaH9,300,0,1
LaH9,250,0,1
LaH9,200,0,1
LaH9,150,0,1
LaH9,100,0,1
La2H7,300,0,1
La2H9,300,0,1
La2H9,250,0,1
La2H9,200,0,1
La2H9,150,0,1
La2H9,100,0,1
La2H7,250,0,1
La2H7,200,0,1
La2H7,150,0,1
La2H7,100,0,1
CeH8,300,0,1
CeH9,150,0,1
CeH9,200,0,1
PrH5,250,0,1
PrH5,200,0,1
PrH5,150,0,1
LaH5,300,0,1
PrH5,100,0,1
PrH4,300,0,1
PrH4,250,0,1
PrH4,200,0,1
PrH4,150,0,1
PrH4,100,0,1
LaH6,150,0,1
LaH6,200,0,1
LaH6,250,0,1
PrH5,300,0,1
PrH6,100,0,1
PrH6,150,0,1
LaH5,250,0,1
PrH9,150,0,1
PrH9,100,0,1
PrH8,300,0,1
PrH8,250,0,1
PrH8,200,0,1
PrH8,150,0,1
LaH5,200,0,1
PrH8,100,0,1
PrH6,200,0,1
PrH7,300,0,1
PrH7,250,0,1
PrH7,200,0,1
PrH7,150,0,1
PrH7,100,0,1
LaH8,200,0,1
PrH6,250,0,1
CeH9,250,0,1
LaH6,300,0,1
CeH10,300,0,1
CeH10,250,0,1
CeH10,150,0,1
CeH10,100,0,1
CeH9,300,0,1
Ce2H9,250,0,1
Ce2H9,300,0,1
Ce2H9,200,0,1
Ce2H9,150,0,1
Ce2H9,100,0,1
Ce2H7,300,0,1
Ce2H7,250,0,1
Ce2H7,200,0,1
Ce2H7,150,0,1
Ce2H7,100,0,1
PmH9,100,0,1
PmH4,300,0,1
GdH8,250,0,1
GdH10,200,0,1
GdH10,150,0,1
GdH10,100,0,1
GdH9,300,0,1
GdH9,250,0,1
GdH9,200,0,1
GdH9,150,0,1
GdH9,100,0,1
GdH8,300,0,1
GdH8,200,0,1
GdH8,150,0,1
GdH8,100,0,1
GdH7,250,0,1
GdH7,200,0,1
GdH7,150,0,1
GdH7,100,0,1
GdH10,250,0,1
GdH10,300,0,1
Eu2H9,300,0,1
Eu2H9,250,0,1
Eu2H9,200,0,1
Eu2H9,150,0,1
Eu2H9,100,0,1
Eu2H7,300,0,1
Eu2H7,250,0,1
Eu2H7,200,0,1
Eu2H7,150,0,1
Eu2H7,100,0,1
TbH10,300,0,1
TbH10,250,0,1
TbH10,200,0,1
TbH10,150,0,1
Tb2H9,300,0,1
Tb2H9,250,0,1
Tb2H9,200,0,1
Tb2H9,150,0,1
Tb2H9,100,0,1
TbH10,100,0,1
TbH9,300,0,1
TbH9,250,0,1
TbH5,100,0,1
TbH4,250,0,1
TbH4,200,0,1
TbH4,150,0,1
TbH4,100,0,1
TbH4,300,0,1
TbH5,150,0,1
TbH9,200,0,1
TbH5,200,0,1
TbH9,150,0,1
TbH9,100,0,1
TbH8,300,0,1
TbH8,250,0,1
TbH8,200,0,1
TbH8,150,0,1
TbH8,100,0,1
TbH7,300,0,1
TbH7,250,0,1
TbH7,200,0,1
TbH7,150,0,1
TbH7,100,0,1
TbH6,300,0,1
TbH6,250,0,1
TbH6,200,0,1
TbH6,150,0,1
TbH6,100,0,1
TbH5,300,0,1
TbH5,250,0,1
PmH5,100,0,1
SmH8,150,0,1
Pm2H9,300,0,1
Pm2H9,250,0,1
Pm2H9,200,0,1
Pm2H9,150,0,1
Pm2H9,100,0,1
Pm2H7,300,0,1
Pm2H7,250,0,1
Pm2H7,200,0,1
SmH7,300,0,1
SmH7,250,0,1
SmH7,200,0,1
SmH7,150,0,1
SmH7,100,0,1
SmH6,300,0,1
SmH6,250,0,1
SmH6,200,0,1
SmH6,150,0,1
SmH6,100,0,1
SmH5,300,0,1
SmH5,250,0,1
SmH5,200,0,1
SmH5,150,0,1
SmH5,100,0,1
Pm2H7,150,0,1
Pm2H7,100,0,1
PmH9,150,0,1
PmH8,300,0,1
PmH8,250,0,1
PmH8,200,0,1
PmH8,150,0,1
PmH8,100,0,1
PmH7,300,0,1
PmH7,250,0,1
PmH7,200,0,1
PmH7,150,0,1
PmH7,100,0,1
PmH6,300,0,1
PmH6,250,0,1
PmH6,200,0,1
PmH6,150,0,1
PmH6,100,0,1
PmH5,300,0,1
PmH5,250,0,1
PmH5,200,0,1
PmH5,150,0,1
PmH9,200,0,1
PmH9,250,0,1
PmH10,300,0,1
PmH10,250,0,1
PmH10,200,0,1
PmH10,150,0,1
PmH10,100,0,1
PmH9,300,0,1
SmH8,100,0,1
SmH8,200,0,1
EuH5,100,0,1
EuH6,300,0,1
EuH6,250,0,1
EuH6,200,0,1
EuH6,150,0,1
EuH6,100,0,1
EuH5,300,0,1
EuH5,250,0,1
EuH5,200,0,1
EuH5,150,0,1
EuH4,300,0,1
SmH8,250,0,1
EuH4,250,0,1
EuH4,200,0,1
EuH4,150,0,1
EuH4,100,0,1
EuH7,100,0,1
EuH7,150,0,1
EuH7,200,0,1
EuH7,250,0,1
EuH10,300,0,1
EuH10,250,0,1
EuH10,200,0,1
EuH10,150,0,1
EuH10,100,0,1
EuH9,300,0,1
EuH9,250,0,1
EuH9,200,0,1
EuH9,150,0,1
EuH9,100,0,1
EuH8,300,0,1
EuH8,250,0,1
EuH8,200,0,1
EuH8,150,0,1
EuH8,100,0,1
EuH7,300,0,1
SmH10,300,0,1
SmH10,250,0,1
SmH10,200,0,1
SmH10,150,0,1
SmH10,100,0,1
SmH9,300,0,1
SmH9,250,0,1
SmH9,200,0,1
SmH9,150,0,1
SmH9,100,0,1
SmH8,300,0,1
Sm2H9,300,0,1
Sm2H9,250,0,1
Sm2H9,200,0,1
Sm2H9,150,0,1
Sm2H9,100,0,1
InH6,200,0,1
InH6,100,0,1
InH5,300,0,1
InH5,250,0,1
InH5,200,0,1
InH5,150,0,1
InH5,100,0,1
InH4,300,0,1
InH4,250,0,1
InH4,200,0,1
InH4,150,0,1
InH4,100,0,1
InH6,150,0,1
InH6,250,0,1
InH6,300,0,1
InH10,250,0,1
InH10,200,0,1
InH10,150,0,1
InH10,100,0,1
InH9,300,0,1
InH9,250,0,1
InH9,200,0,1
InH9,150,0,1
InH9,100,0,1
InH8,300,0,1
InH8,250,0,1
InH8,200,0,1
InH8,150,0,1
InH8,100,0,1
InH10,300,0,1
SnH9,300,0,1
SnH9,200,0,1
SnH9,150,0,1
SnH9,100,0,1
SnH8,300,0,1
SnH8,250,0,1
SnH8,200,0,1
SnH8,150,0,1
SnH8,100,0,1
SnH7,300,0,1
SnH7,250,0,1
SnH7,200,0,1
SnH7,150,0,1
SnH7,100,0,1
SnH6,300,0,1
SnH6,250,0,1
SnH6,200,0,1
SnH6,150,0,1
SnH6,100,0,1
SnH5,300,0,1
SnH9,250,0,1
SnH10,100,0,1
SnH10,150,0,1
Sn2H7,100,0,1
Sn2H5,300,0,1
Sn2H5,250,0,1
Sn2H5,200,0,1
Sn2H5,150,0,1
Sn2H5,100,0,1
SnH10,300,0,1
SnH10,250,0,1
SnH10,200,0,1
SnH5,250,0,1
SnH5,200,0,1
SnH5,150,0,1
SnH5,100,0,1
In2H9,150,0,1
In2H9,100,0,1
In2H7,300,0,1
In2H7,250,0,1
In2H7,200,0,1
In2H7,150,0,1
In2H7,100,0,1
In2H9,200,0,1
In2H9,250,0,1
In2H9,300,0,1
SnH3,100,0,1
SnH4,300,0,1
SnH4,250,0,1
SnH4,150,0,1
SnH4,100,0,1
SnH3,300,0,1
SnH3,250,0,1
SnH3,200,0,1
SnH3,150,0,1
Sn2H7,200,0,1
Sn2H7,150,0,1
Sn2H7,250,0,1
Ba2H9,300,0,1
H7I2,100,0,1
H5I2,250,0,1
H5I2,200,0,1
H5I2,150,0,1
H5I2,100,0,1
H5I2,300,0,1
H7I2,150,0,1
H7I2,200,0,1
H9I2,300,0,1
H9I2,250,0,1
H9I2,200,0,1
H9I2,150,0,1
H9I2,100,0,1
H7I2,300,0,1
H7I2,250,0,1
BaH10,300,0,1
BaH10,250,0,1
BaH10,200,0,1
BaH10,150,0,1
BaH10,100,0,1
BaH9,300,0,1
BaH9,250,0,1
BaH9,200,0,1
BaH9,150,0,1
BaH9,100,0,1
BaH8,300,0,1
BaH8,250,0,1
BaH8,200,0,1
BaH8,150,0,1
BaH8,100,0,1
BaH7,300,0,1
BaH7,250,0,1
Ba2H9,250,0,1
Ba2H9,200,0,1
Ba2H9,150,0,1
Ba2H9,100,0,1
BaH7,200,0,1
BaH7,150,0,1
BaH7,100,0,1
BaH6,300,0,1
BaH4,300,0,1
BaH6,250,0,1
BaH6,200,0,1
BaH6,150,0,1
BaH5,300,0,1
BaH5,250,0,1
BaH5,200,0,1
BaH5,150,0,1
BaH5,100,0,1
BaH4,250,0,1
BaH4,200,0,1
BaH4,150,0,1
BaH4,100,0,1
Sn2H7,300,0,1
Sb2H7,250,0,1
Sb2H7,150,0,1
Sb2H7,100,0,1
Sb2H5,300,0,1
Sb2H5,250,0,1
Sb2H5,200,0,1
Sb2H5,150,0,1
Sb2H5,100,0,1
Sb2H7,200,0,1
Sb2H7,300,0,1
Sb2H9,100,0,1
TeH4,250,0,1
TeH4,150,0,1
TeH4,100,0,1
TeH3,300,0,1
TeH3,250,0,1
TeH3,200,0,1
TeH3,150,0,1
TeH3,100,0,1
TeH2,300,0,1
TeH2,250,0,1
TeH2,200,0,1
TeH2,150,0,1
TeH2,100,0,1
TeH,250,0,1
TeH,100,0,1
Sb2H9,300,0,1
Sb2H9,250,0,1
Sb2H9,200,0,1
Sb2H9,150,0,1
SbH5,200,0,1
SbH5,100,0,1
SbH4,100,0,1
SbH3,250,0,1
SbH3,200,0,1
SbH3,150,0,1
SbH3,100,0,1
SbH2,300,0,1
SbH2,250,0,1
SbH2,200,0,1
SbH2,150,0,1
SbH2,100,0,1
SbH,200,0,1
SbH,150,0,1
SbH,100,0,1
Sn2H9,300,0,1
Sn2H9,250,0,1
Sn2H9,200,0,1
Sn2H9,150,0,1
Sn2H9,100,0,1
SbH5,150,0,1
SbH5,250,0,1
SbH5,300,0,1
SbH7,300,0,1
SbH7,250,0,1
SbH7,200,0,1
SbH7,150,0,1
SbH7,100,0,1
SbH6,300,0,1
SbH6,250,0,1
SbH6,200,0,1
SbH6,150,0,1
SbH6,100,0,1
TeH5,100,0,1
TeH5,150,0,1
TeH5,200,0,1
H4I,300,0,1
H4I,200,0,1
H3I,300,0,1
H3I,250,0,1
H3I,200,0,1
H3I,150,0,1
H3I,100,0,1
H2I,150,0,1
Te2H9,300,0,1
Te2H9,250,0,1
Te2H9,200,0,1
Te2H9,150,0,1
H4I,250,0,1
H5I,100,0,1
TeH5,250,0,1
H5I,150,0,1
H7I,300,0,1
H7I,250,0,1
H7I,200,0,1
H7I,150,0,1
H7I,100,0,1
H6I,300,0,1
H6I,250,0,1
H6I,200,0,1
H6I,150,0,1
H6I,100,0,1
H5I,300,0,1
H5I,250,0,1
H5I,200,0,1
Te2H9,100,0,1
Te2H7,300,0,1
Te2H7,250,0,1
Te2H7,200,0,1
TeH7,300,0,1
TeH7,250,0,1
TeH7,200,0,1
TeH7,150,0,1
TeH7,100,0,1
TeH6,300,0,1
TeH6,250,0,1
TeH6,200,0,1
TeH6,150,0,1
TeH6,100,0,1
TeH5,300,0,1
Te2H3,150,0,1
Te2H7,150,0,1
Te2H7,100,0,1
Te2H5,250,0,1
Te2H5,150,0,1
Te2H5,100,0,1
Te2H3,300,0,1
Te2H3,250,0,1
Te2H3,200,0,1
Te2H3,100,0,1
HPt,300,0,1
HPt,250,0,1
HPt,200,0,1
HPt,150,0,1
PoH8,150,0,1
PoH7,300,0,1
PoH7,250,0,1
PoH7,200,0,1
PoH7,150,0,1
PoH7,100,0,1
PoH6,300,0,1
PoH6,250,0,1
PoH6,150,0,1
PoH6,100,0,1
PoH5,300,0,1
PoH5,250,0,1
PoH5,200,0,1
PoH5,150,0,1
PoH5,100,0,1
PoH4,300,0,1
PoH4,250,0,1
PoH4,150,0,1
PoH4,100,0,1
PoH3,300,0,1
PoH8,100,0,1
PoH8,200,0,1
PoH3,200,0,1
PoH8,250,0,1
Po2H3,200,0,1
Po2H3,150,0,1
Po2H3,100,0,1
PoH9,300,0,1
PoH9,250,0,1
PoH9,200,0,1
PoH9,150,0,1
PoH9,100,0,1
PoH8,300,0,1
PoH3,250,0,1
PoH3,150,0,1
BiH9,150,0,1
Bi2H5,250,0,1
Bi2H5,150,0,1
Bi2H5,100,0,1
Bi2H3,300,0,1
Bi2H3,250,0,1
Bi2H3,200,0,1
Bi2H3,150,0,1
Bi2H3,100,0,1
BiH10,300,0,1
BiH10,250,0,1
BiH10,200,0,1
BiH10,150,0,1
BiH10,100,0,1
BiH9,300,0,1
BiH9,250,0,1
Bi2H5,200,0,1
Bi2H5,300,0,1
PoH3,100,0,1
Bi2H7,100,0,1
PoH2,300,0,1
PoH2,250,0,1
PoH2,200,0,1
PoH2,150,0,1
PoH2,100,0,1
PoH,300,0,1
PoH,250,0,1
PoH,200,0,1
PoH,150,0,1
PoH,100,0,1
Bi2H9,300,0,1
Bi2H9,250,0,1
Bi2H9,200,0,1
Bi2H9,150,0,1
Bi2H9,100,0,1
Bi2H7,300,0,1
Bi2H7,250,0,1
Bi2H7,200,0,1
Bi2H7,150,0,1
Po2H3,250,0,1
Po2H3,300,0,1
Po2H5,100,0,1
Po2H5,150,0,1
Po2H9,300,0,1
Po2H9,250,0,1
Po2H9,200,0,1
Po2H9,150,0,1
Po2H9,100,0,1
Po2H7,300,0,1
Po2H7,250,0,1
Po2H7,200,0,1
Po2H7,150,0,1
Po2H7,100,0,1
Po2H5,300,0,1
Po2H5,250,0,1
Po2H5,200,0,1
BiH9,200,0,1
BiH9,100,0,1
H2Pb,100,0,1
BiH8,300,0,1
H2Pb,150,0,1
H2Pb,200,0,1
H2Pb,250,0,1
BiH,150,0,1
H9Pb2,300,0,1
H9Pb2,250,0,1
H9Pb2,200,0,1
H9Pb2,150,0,1
H9Pb2,100,0,1
H7Pb2,300,0,1
H7Pb2,250,0,1
H7Pb2,200,0,1
H7Pb2,150,0,1
H7Pb2,100,0,1
H5Pb2,300,0,1
H5Pb2,250,0,1
H5Pb2,200,0,1
H5Pb2,150,0,1
H5Pb2,100,0,1
BiH,100,0,1
BiH,200,0,1
H2Pb,300,0,1
BiH2,100,0,1
BiH8,250,0,1
BiH8,200,0,1
BiH8,150,0,1
BiH8,100,0,1
BiH7,300,0,1
BiH7,250,0,1
BiH7,200,0,1
BiH7,150,0,1
BiH7,100,0,1
BiH6,150,0,1
BiH6,100,0,1
BiH5,150,0,1
BiH5,100,0,1
BiH4,100,0,1
BiH3,300,0,1
BiH3,250,0,1
BiH3,200,0,1
BiH3,150,0,1
BiH3,100,0,1
H6Pb,250,0,1
H6Pb,200,0,1
H6Pb,150,0,1
H6Pb,100,0,1
H5Pb,300,0,1
H5Pb,250,0,1
H5Pb,200,0,1
H5Pb,150,0,1
H5Pb,100,0,1
H4Pb,300,0,1
H4Pb,250,0,1
H4Pb,200,0,1
H4Pb,150,0,1
H4Pb,100,0,1
H3Pb,300,0,1
H3Pb,250,0,1
H3Pb,200,0,1
H3Pb,150,0,1
H3Pb,100,0,1
H6Pb,300,0,1
H7Pb,100,0,1
H7Pb,150,0,1
H9Pb,250,0,1
H9Pb,300,0,1
H9Pb,200,0,1
H7Pb,200,0,1
H9Pb,150,0,1
H9Pb,100,0,1
H8Pb,300,0,1
H8Pb,250,0,1
H8Pb,150,0,1
H8Pb,100,0,1
H7Pb,300,0,1
H7Pb,250,0,1
YbH10,300,0,1
YbH10,250,0,1
YbH10,200,0,1
YbH10,150,0,1
YbH10,100,0,1
YbH9,300,0,1
YbH9,250,0,1
YbH9,200,0,1
YbH9,150,0,1
YbH9,100,0,1
YbH8,300,0,1
YbH8,250,0,1
YbH8,200,0,1
YbH8,150,0,1
YbH8,100,0,1
YbH7,300,0,1
YbH6,100,0,1
YbH7,250,0,1
YbH7,200,0,1
YbH7,150,0,1
YbH7,100,0,1
YbH6,300,0,1
YbH6,250,0,1
YbH6,200,0,1
YbH6,150,0,1
Dy2H9,300,0,1
Dy2H9,250,0,1
Dy2H9,200,0,1
Dy2H9,150,0,1
Dy2H9,100,0,1
DyH8,250,0,1
DyH8,150,0,1
DyH8,100,0,1
DyH7,300,0,1
DyH7,250,0,1
DyH7,200,0,1
DyH7,150,0,1
DyH7,100,0,1
DyH6,300,0,1
DyH6,250,0,1
DyH6,200,0,1
DyH6,150,0,1
DyH6,100,0,1
DyH5,300,0,1
DyH5,250,0,1
DyH5,200,0,1
DyH5,150,0,1
DyH5,100,0,1
DyH8,200,0,1
DyH8,300,0,1
DyH9,100,0,1
DyH10,300,0,1
DyH10,250,0,1
DyH10,200,0,1
DyH10,150,0,1
DyH10,100,0,1
DyH9,300,0,1
DyH9,250,0,1
DyH9,200,0,1
DyH9,150,0,1
HfH3,300,0,1
HfH3,250,0,1
HfH3,200,0,1
HfH3,150,0,1
HfH3,100,0,1
HfH2,300,0,1
HfH2,250,0,1
HfH2,200,0,1
HfH2,150,0,1
HfH2,100,0,1
Hf2H3,250,0,1
Hf2H5,300,0,1
Hf2H5,250,0,1
Hf2H5,200,0,1
Hf2H5,150,0,1
Hf2H5,100,0,1
Hf2H3,300,0,1
Hf2H3,200,0,1
Hf2H3,150,0,1
Hf2H3,100,0,1
H9S2,250,0,1
H9S2,150,0,1
H9S2,100,0,1
H7S2,300,0,1
H7S2,250,0,1
H7S2,200,0,1
H7S2,150,0,1
H7S2,100,0,1
H5S2,300,0,1
H5S2,250,0,1
H5S2,200,0,1
H3S2,300,0,1
H3S2,250,0,1
H3S2,200,0,1
H3S2,150,0,1
H3S2,100,0,1
HS2,300,0,1
HS2,150,0,1
HS2,100,0,1
H9S2,200,0,1
H9S2,300,0,1
HCl,100,0,1
HCl,300,0,1
HCl,200,0,1
HCl,150,0,1
KH10,300,0,1
KH10,250,0,1
KH10,200,0,1
KH10,150,0,1
KH10,100,0,1
KH9,300,0,1
KH9,250,0,1
KH9,200,0,1
K2H9,300,0,1
K2H9,250,0,1
K2H9,200,0,1
K2H9,150,0,1
K2H9,100,0,1
K2H7,300,0,1
K2H7,250,0,1
K2H7,200,0,1
K2H7,150,0,1
K2H7,100,0,1
KH9,150,0,1
