formula,P,Tc,AD
YH9,200,263,1
YH9,250,263,1
YH9,100,263,1
YH9,150,263,1
YH9,300,262,1
YH10,200,258,1
YH10,250,258,1
YH10,100,258,1
YH10,150,258,1
YH10,300,254,1
YH8,150,246,1
YH8,200,246,1
YH8,100,246,1
YH7,100,245,1
YH8,250,245,1
YH7,300,243,1
YH8,300,241,1
YH7,150,240,1
YH6,300,239,1
YH6,250,239,1
YH6,200,239,1
YH6,150,239,1
YH7,250,236,1
YH6,100,236,1
YH7,200,236,1
SmH10,200,231,1
SmH10,150,231,1
SmH10,100,231,1
SmH10,250,229,1
LaH10,200,228,1
LaH10,150,228,1
LaH10,100,228,1
NdH9,100,226,1
SmH9,100,226,1
NdH9,150,226,1
SmH9,200,226,1
SmH9,150,226,1
NdH9,200,226,1
NdH9,250,225,1
SmH9,250,225,1
LaH10,250,224,1
NdH10,200,222,1
NdH10,150,222,1
NdH10,100,222,1
SmH10,300,222,1
NdH10,250,220,1
SmH9,300,220,1
NdH9,300,220,1
NdH10,300,213,1
LaH10,300,205,1
H3S,200,193,1
NdH8,250,191,1
NdH8,150,190,1
NdH8,100,190,1
NdH8,200,190,1
H3S,250,186,1
NdH8,300,183,1
H3S,300,183,1
DyH10,200,176,1
DyH10,100,176,1
DyH10,150,176,1
DyH10,250,176,1
AsH9,200,174,1
AsH10,250,173,1
AsH9,250,173,1
AsH10,200,173,1
AsH9,150,172,1
AsH9,300,172,1
AsH10,150,171,1
SmH8,250,170,1
SmH8,100,170,1
SmH8,150,170,1
SmH8,200,170,1
TbH10,100,169,1
TbH10,150,169,1
TbH10,200,169,1
TbH10,250,168,1
AsH10,300,167,1
ScH9,100,165,1
DyH10,300,165,1
ScH9,300,165,1
ScH9,250,165,1
ScH9,200,165,1
ScH9,150,165,1
NdH7,250,163,1
TbH8,200,163,1
H3S,150,163,1
SmH7,250,163,1
TbH8,150,163,1
TbH8,100,163,1
SmH8,300,163,1
TbH8,250,162,1
SmH7,200,162,1
SmH7,150,162,1
SmH7,100,162,1
NdH7,100,162,1
NdH7,200,162,1
NdH7,150,162,1
LaH6,300,161,1
LaH6,200,161,1
LaH6,250,161,1
LaH6,150,161,1
LaH6,100,161,1
SmH7,300,160,1
NdH7,300,160,1
PrH10,200,158,1
PrH10,100,158,1
PrH10,150,158,1
AsH9,100,157,1
EuH6,200,156,1
EuH6,250,156,1
EuH6,300,156,1
DyH9,100,156,1
DyH9,150,156,1
DyH9,200,156,1
EuH6,150,156,1
EuH6,100,156,1
DyH8,200,155,1
DyH8,150,155,1
TbH6,300,155,1
TbH8,300,155,1
AsH10,100,155,1
DyH8,100,155,1
PrH10,250,155,1
DyH6,300,155,1
TbH10,300,154,1
DyH8,250,154,1
DyH6,250,153,1
DyH6,200,153,1
DyH6,100,153,1
TbH6,250,153,1
ScH7,300,153,1
TbH6,200,153,1
DyH6,150,153,1
TbH6,150,153,1
DyH9,250,153,1
ScH7,250,153,1
ScH7,200,153,1
TbH6,100,153,1
PrH6,200,149,1
PrH6,100,149,1
CeH8,200,149,1
PmH6,200,149,1
PrH6,250,149,1
CeH8,150,149,1
CeH8,100,149,1
PrH6,150,149,1
PmH6,100,149,1
PrH6,300,149,1
PmH6,150,149,1
AsH8,150,149,1
PmH6,300,149,1
AsH8,200,149,1
PmH6,250,149,1
H3S,100,148,1
CeH8,250,148,1
ScH7,100,148,1
AsH8,300,148,1
ScH7,150,148,1
AsH8,250,148,1
DyH8,300,147,1
PmH8,100,147,1
PrH7,200,147,1
PrH7,300,147,1
PrH7,250,147,1
PrH7,100,147,1
PrH7,150,147,1
PrH8,200,146,1
CeH6,300,146,1
PrH8,100,146,1
LaH8,200,146,1
LaH8,150,146,1
PrH8,150,146,1
LaH8,100,146,1
PrH8,250,145,1
LaH8,250,145,1
PmH8,200,145,1
H7S2,250,144,1
CeH8,300,144,1
PrH8,300,143,1
CeH6,100,143,1
EuH7,300,143,1
EuH7,250,143,1
LaH7,100,143,1
CeH6,150,143,1
CeH6,200,143,1
CeH6,250,143,1
EuH7,200,143,1
LaH7,250,143,1
EuH7,150,143,1
LaH7,150,143,1
LaH7,200,143,1
EuH7,100,143,1
LaH8,300,143,1
LaH7,300,143,1
PrH10,300,142,1
PmH8,150,142,1
H7S2,200,142,1
DyH7,250,141,1
DyH7,300,141,1
DyH7,200,141,1
TbH7,200,141,1
PmH8,300,141,1
TbH7,300,141,1
TbH7,250,141,1
TbH7,150,141,1
TbH7,100,141,1
DyH9,300,141,1
DyH7,100,141,1
DyH7,150,141,1
PmH7,200,138,1
PmH7,150,138,1
PmH7,100,138,1
H7S2,300,138,1
ScH10,200,138,1
ScH10,300,138,1
ScH10,150,138,1
ScH10,100,138,1
PmH7,250,138,1
ScH10,250,138,1
PmH7,300,138,1
TiH9,250,137,1
PmH8,250,137,1
YH5,150,137,1
TbH9,200,136,1
NdH6,250,136,1
TbH9,100,136,1
YH5,300,136,1
YH5,200,136,1
YH5,250,136,1
AsH8,100,136,1
TbH9,150,136,1
EuH10,100,136,1
EuH10,150,136,1
EuH10,200,136,1
TiH9,200,136,1
YH5,100,135,1
TiH9,100,135,1
TiH9,150,135,1
EuH10,250,135,1
NdH6,200,134,1
NdH6,150,134,1
CeH7,300,133,1
TiH9,300,133,1
NdH6,300,132,1
TbH9,250,132,1
NdH6,100,132,1
H10Se,250,131,1
CeH7,100,130,1
CeH7,150,130,1
CeH7,200,130,1
CeH7,250,130,1
H7S2,150,127,1
TiH10,250,127,1
PmH9,200,125,1
PmH9,150,125,1
PmH9,100,125,1
PrH9,100,125,1
PrH9,150,125,1
PrH9,200,125,1
H9S2,250,124,1
TbH9,300,124,1
SrH6,150,124,1
EuH10,300,124,1
SrH6,200,124,1
SrH6,250,124,1
SrH6,300,124,1
TiH10,100,124,1
TiH10,150,124,1
TiH10,200,124,1
TiH8,100,122,1
PmH9,250,122,1
TiH10,300,122,1
ScH8,300,121,1
ScH8,250,121,1
ScH8,200,121,1
SrH6,100,121,1
PrH9,250,121,1
H10Se,150,121,1
H10Se,100,119,1
H5S,250,119,1
H10Se,200,119,1
PmH10,200,118,1
PmH10,100,118,1
PmH10,150,118,1
H4S,250,118,1
TiH8,200,117,1
H10Se,300,117,1
PmH9,300,117,1
ScH8,100,116,1
ScH8,150,116,1
AsH7,250,116,1
ScH6,100,116,1
H9Se,250,115,1
BaH9,250,115,1
BaH9,100,114,1
H5S,200,114,1
PmH10,250,114,1
H5S,300,114,1
BaH9,200,114,1
BaH9,150,114,1
AsH7,300,114,1
H9S2,300,114,1
PrH9,300,113,1
SrH5,250,113,1
H9S2,200,113,1
SrH5,200,113,1
H4S,300,113,1
AsH7,150,113,1
TiH8,150,112,1
AsH7,200,112,1
H4S,200,111,1
SrH5,100,111,1
SrH5,150,111,1
H3Se,150,110,1
H3Se,200,110,1
TiH8,300,109,1
TiH8,250,108,1
ScH5,250,108,1
EuH8,200,108,1
EuH8,100,108,1
EuH8,150,108,1
PmH10,300,108,1
TiH6,100,107,1
EuH8,250,107,1
H3Se,250,106,1
H3Se,300,106,1
H7S2,100,104,1
EuH8,300,104,1
PrH5,250,104,1
CeH5,200,104,1
LaH5,100,104,1
LaH5,200,104,1
LaH5,250,104,1
LaH5,300,104,1
CeH5,100,104,1
PrH5,200,104,1
CeH5,150,104,1
CeH5,250,104,1
CeH5,300,104,1
LaH5,150,104,1
PrH5,100,104,1
PrH5,150,104,1
PrH5,300,104,1
ScH5,100,103,1
BaH8,150,103,1
BaH8,200,103,1
BaH8,250,102,1
BaH8,100,102,1
H9Pb,200,102,1
H5S,150,101,1
H9Se,150,101,1
SbH4,150,101,1
TiH7,100,101,1
SbH4,200,101,1
TiH6,200,101,1
Sb2H9,150,100,1
Sb2H9,200,100,1
AsH7,100,100,1
H8Se,250,100,1
H9S2,150,100,1
BaH8,300,99,1
H9Pb,150,99,1
SbH5,200,99,1
SbH5,150,99,1
SiH6,100,99,1
H4S,150,98,1
H3Se,100,98,1
H9Se,300,97,1
H9Se,200,97,1
ScH5,300,97,1
H9Pb,300,96,1
H9Pb,100,96,1
H7Se,250,96,1
SiH6,250,96,1
SbH4,250,96,1
ScH6,300,96,1
Sb2H9,250,96,1
SbH4,300,95,1
TiH6,250,95,1
TiH6,300,95,1
BiH5,300,95,1
SbH5,250,95,1
H6Pb,200,95,1
H6Pb,250,95,1
SbH5,300,95,1
Sb2H9,300,95,1
TbH5,300,94,1
TbH5,100,94,1
ScH5,200,94,1
H6Pb,150,94,1
TbH5,250,94,1
TbH5,150,94,1
TbH5,200,93,1
H6Pb,300,93,1
PmH5,200,92,1
PmH5,250,92,1
H8Pb,200,92,1
H8Pb,150,92,1
PmH5,150,92,1
PmH5,100,92,1
PmH5,300,92,1
ScH5,150,92,1
TiH6,150,92,1
SbH4,100,92,1
ScH4,200,91,1
Sb2H9,100,91,1
H9Se,100,91,1
P2H9,250,91,1
Sc2H9,100,91,1
SbH5,100,90,1
BiH5,150,90,1
BiH5,200,90,1
H9Pb,250,90,1
H7Pb,200,90,1
H7Pb,150,90,1
ScH4,100,89,1
ScH4,150,89,1
BiH6,250,89,1
BiH6,300,89,1
TeH4,150,89,1
TiH7,300,88,1
GeH7,250,88,1
BiH5,250,88,1
TiH7,200,88,1
Y2H9,150,88,1
SbH6,200,88,1
H5Se,250,88,1
Te2H7,150,88,1
ScH4,300,88,1
SiH6,200,87,1
H8Pb,250,87,1
SiH6,300,87,1
H8Pb,300,87,1
Sc2H9,150,87,1
H7Pb,300,87,1
H7Pb,250,87,1
Te2H9,150,86,1
H6Pb,100,86,1
H8Se,150,86,1
H9Se2,250,86,1
TiH7,150,86,1
Sc2H9,200,85,1
SbH6,300,85,1
Y2H9,100,85,1
H8Se,300,85,1
GeH7,150,85,1
