formula,P,Tc,AD
YH10,300,233,1
YH10,250,231,1
YH10,200,229,1
YH10,150,227,1
YH10,100,225,1
YH9,300,221,1
YH9,250,219,1
YH9,200,217,1
YH9,150,215,1
YH9,100,213,1
BaH10,300,209,1
BaH10,250,207,1
YH8,300,205,1
BaH10,200,205,1
YH8,250,203,1
BaH10,150,203,1
YH8,200,201,1
SrH10,300,201,1
BaH10,100,201,1
YH8,150,199,1
SrH10,250,199,1
SrH10,200,197,1
YH8,100,197,1
SrH10,150,195,1
BaH9,300,195,1
SrH10,100,194,1
NdH10,300,194,1
BaH9,250,193,1
NdH10,250,192,1
BaH9,200,191,1
SrH9,300,191,1
NdH10,200,190,1
SmH10,300,190,1
BaH9,150,189,1
SrH9,250,189,1
NdH10,150,188,1
SmH10,250,188,1
BaH9,100,188,1
SrH9,200,187,1
SmH10,200,187,1
NdH10,100,186,1
YH7,300,186,1
SmH10,150,185,1
SrH9,150,185,1
YH7,250,184,1
CaH9,300,184,1
SrH9,100,184,1
SmH10,100,183,1
NdH9,300,182,1
YH7,200,182,1
CaH9,250,182,1
YH7,150,180,1
CaH9,200,180,1
NdH9,250,180,1
SmH9,300,179,1
BaH8,300,179,1
SrH8,300,179,1
NdH9,200,178,1
SmH9,250,178,1
YH7,100,178,1
CaH9,150,178,1
GdH10,300,177,1
BaH8,250,177,1
SrH8,250,177,1
BaH8,200,176,1
NdH9,150,176,1
SmH9,200,176,1
CaH8,300,176,1
CaH9,100,176,1
GdH10,250,176,1
SrH8,200,175,1
SmH9,150,174,1
TiH10,300,174,1
CaH8,250,174,1
BaH8,150,174,1
NdH9,100,174,1
GdH10,200,174,1
ScH10,300,173,1
SrH8,150,173,1
TiH10,250,172,1
SmH9,100,172,1
ScH10,250,172,1
BaH8,100,172,1
CaH8,200,172,1
GdH10,150,172,1
SrH8,100,171,1
CaH8,150,170,1
ScH10,200,170,1
TiH10,200,170,1
GdH10,100,170,1
NdH8,300,169,1
TiH10,150,168,1
CaH8,100,168,1
ScH10,150,168,1
NdH8,250,167,1
GdH9,300,167,1
TiH10,100,167,1
SmH8,300,167,1
ScH10,100,166,1
NdH8,200,165,1
ScH9,300,165,1
SmH8,250,165,1
TiH9,300,165,1
CaH7,300,165,1
GdH9,250,165,1
SrH7,300,164,1
NdH8,150,163,1
TiH9,250,163,1
SmH8,200,163,1
GdH9,200,163,1
ScH9,250,163,1
CaH7,250,163,1
YH6,300,162,1
SrH7,250,162,1
NdH8,100,161,1
ScH9,200,161,1
CaH7,200,161,1
BaH7,300,161,1
GdH9,150,161,1
SmH8,150,161,1
TiH9,200,161,1
YH6,250,160,1
SrH7,200,160,1
YbH10,300,160,1
ScH9,150,159,1
TiH9,150,159,1
CaH7,150,159,1
GdH9,100,159,1
BaH7,250,159,1
SmH8,100,159,1
SrH7,150,159,1
YbH10,250,158,1
CaH7,100,158,1
YH6,200,158,1
TiH9,100,158,1
ScH9,100,158,1
BaH7,200,157,1
SrH7,100,157,1
YH6,150,156,1
YbH10,200,156,1
ScH8,300,155,1
GdH8,300,155,1
BaH7,150,155,1
YbH10,150,154,1
YH6,100,154,1
TiH8,300,153,1
NdH7,300,153,1
ScH8,250,153,1
BaH7,100,153,1
GdH8,250,153,1
SmH7,300,152,1
YbH10,100,152,1
CaH6,300,151,1
AsH10,300,151,1
ScH8,200,151,1
GdH8,200,151,1
YbH9,300,151,1
TiH8,250,151,1
NdH7,250,151,1
AsH9,300,150,1
SmH7,250,150,1
TiH8,200,150,1
AsH10,250,149,1
GdH8,150,149,1
ScH8,150,149,1
NdH7,200,149,1
CaH6,250,149,1
YbH9,250,149,1
PrH10,300,148,1
SmH7,200,148,1
AsH10,200,148,1
AsH9,250,148,1
TiH8,150,148,1
YbH9,200,147,1
CaH6,200,147,1
AsH9,200,147,1
ScH8,100,147,1
GdH8,100,147,1
AsH8,300,147,1
NdH7,150,147,1
PrH10,250,146,1
AsH10,150,146,1
SmH7,150,146,1
SrH6,300,146,1
TiH8,100,146,1
YbH9,150,145,1
NdH7,100,145,1
PmH10,300,145,1
AsH9,150,145,1
AsH8,250,145,1
CaH6,150,145,1
AsH10,100,144,1
SmH7,100,144,1
SrH6,250,144,1
PrH10,200,144,1
YbH9,100,143,1
PmH10,250,143,1
CaH6,100,143,1
TbH10,300,143,1
AsH8,200,143,1
AsH9,100,143,1
LaH10,300,143,1
LaH10,250,142,1
PrH10,150,142,1
DyH10,300,142,1
CeH10,300,142,1
SrH6,200,142,1
AsH7,300,141,1
ScH7,300,141,1
AsH8,150,141,1
TbH10,250,141,1
PmH10,200,141,1
YbH8,300,141,1
CeH10,250,140,1
PrH10,100,140,1
TbH10,200,140,1
GdH7,300,140,1
DyH10,250,140,1
SrH6,150,140,1
LaH10,200,140,1
ScH7,250,139,1
PmH10,150,139,1
AsH8,100,139,1
AsH7,250,139,1
YbH8,250,139,1
LaH10,150,138,1
SrH6,100,138,1
BaH6,300,138,1
PrH9,300,138,1
TbH10,150,138,1
GdH7,250,138,1
TiH7,300,138,1
CeH10,200,138,1
DyH10,200,138,1
EuH10,300,137,1
AsH7,200,137,1
YbH8,200,137,1
PmH10,100,137,1
ScH7,200,137,1
TbH10,100,136,1
DyH10,150,136,1
BaH6,250,136,1
CeH10,150,136,1
LaH10,100,136,1
TiH7,250,136,1
GdH7,200,136,1
PrH9,250,136,1
EuH10,250,135,1
AsH7,150,135,1
ScH7,150,135,1
YbH8,150,135,1
PmH9,300,135,1
LaH9,300,134,1
TiH7,200,134,1
NdH6,300,134,1
BaH6,200,134,1
PrH9,200,134,1
CeH10,100,134,1
SmH6,300,134,1
TbH9,300,134,1
DyH10,100,134,1
GdH7,150,134,1
DyH9,300,133,1
EuH10,200,133,1
AsH7,100,133,1
PmH9,250,133,1
YbH8,100,133,1
CeH9,300,133,1
ScH7,100,133,1
TbH9,250,132,1
NdH6,250,132,1
PrH9,150,132,1
BaH6,150,132,1
CeH9,250,132,1
GdH7,100,132,1
LaH9,250,132,1
TiH7,150,132,1
SmH6,250,132,1
TbH9,200,131,1
PmH9,200,131,1
DyH9,250,131,1
YH5,300,131,1
EuH10,150,131,1
CaH5,300,131,1
NdH6,200,130,1
BaH6,100,130,1
PrH9,100,130,1
TiH7,100,130,1
EuH10,100,130,1
CeH9,200,130,1
LaH9,200,130,1
SmH6,200,130,1
TbH9,150,129,1
DyH9,200,129,1
CaH5,250,129,1
PmH9,150,129,1
YH5,250,129,1
AsH6,300,129,1
SmH6,150,128,1
CeH9,150,128,1
NdH6,150,128,1
LaH9,150,128,1
EuH9,300,128,1
YbH7,300,128,1
PmH9,100,127,1
TbH9,100,127,1
CaH5,200,127,1
PrH8,300,127,1
YH5,200,127,1
DyH9,150,127,1
EuH9,250,127,1
AsH6,250,127,1
CaH5,150,126,1
LaH9,100,126,1
YbH7,250,126,1
BiH10,300,126,1
NdH6,100,126,1
SmH6,100,126,1
CeH9,100,126,1
YbH7,200,125,1
EuH9,200,125,1
AsH6,200,125,1
DyH9,100,125,1
YH5,150,125,1
PrH8,250,125,1
CaH5,100,124,1
TbH8,300,124,1
BiH10,250,124,1
CeH8,300,124,1
AlH5,300,124,1
PrH8,200,123,1
PmH8,300,123,1
YH5,100,123,1
LaH8,300,123,1
EuH9,150,123,1
SrH5,300,123,1
YbH7,150,123,1
AsH6,150,123,1
DyH8,300,123,1
ScH6,300,122,1
CeH8,250,122,1
TbH8,250,122,1
AlH5,250,122,1
BiH10,200,122,1
BiH9,300,122,1
YbH7,100,121,1
SrH5,250,121,1
LaH8,250,121,1
EuH9,100,121,1
AsH6,100,121,1
PrH8,150,121,1
PmH8,250,121,1
DyH8,250,121,1
AlH5,200,120,1
ScH6,250,120,1
BiH10,150,120,1
CeH8,200,120,1
TbH8,200,120,1
BiH9,250,120,1
PrH8,100,119,1
PmH8,200,119,1
LaH8,200,119,1
SrH5,200,119,1
Ca2H9,300,119,1
DyH8,200,119,1
GeH7,300,118,1
AlH5,150,118,1
EuH8,300,118,1
ScH6,200,118,1
TbH8,150,118,1
CeH8,150,118,1
BiH10,100,118,1
BiH9,200,118,1
BiH8,300,117,1
SrH5,150,117,1
LaH8,150,117,1
Ca2H9,250,117,1
PoH9,300,117,1
PmH8,150,117,1
DyH8,150,117,1
EuH8,250,116,1
ScH6,150,116,1
AlH5,100,116,1
GeH7,250,116,1
SiH7,300,116,1
CeH8,100,116,1
BiH9,150,116,1
TiH6,300,116,1
TbH8,100,116,1
PmH8,100,115,1
PoH9,250,115,1
Ca2H9,200,115,1
SrH5,100,115,1
BiH9,100,115,1
BiH8,250,115,1
DyH8,100,115,1
LaH8,100,115,1
TiH6,250,114,1
GeH7,200,114,1
EuH8,200,114,1
PrH7,300,114,1
SiH7,250,114,1
ScH6,100,114,1
PoH9,200,113,1
BiH8,200,113,1
Ca2H9,150,113,1
YbH6,300,113,1
EuH8,150,112,1
SiH7,200,112,1
CeH7,300,112,1
TiH6,200,112,1
PrH7,250,112,1
GeH7,150,112,1
Ca2H9,100,111,1
Y2H9,300,111,1
PoH9,150,111,1
BiH8,150,111,1
YbH6,250,111,1
SmH5,300,111,1
TbH7,300,111,1
NdH5,300,110,1
BaH5,300,110,1
SiH7,150,110,1
DyH7,300,110,1
GeH7,100,110,1
PrH7,200,110,1
CeH7,250,110,1
TiH6,150,110,1
LaH7,300,110,1
EuH8,100,110,1
YbH6,200,110,1
Sr2H9,300,109,1
SmH5,250,109,1
PoH9,100,109,1
TbH7,250,109,1
TiH6,100,109,1
As2H9,300,109,1
BiH8,100,109,1
AsH5,300,109,1
Y2H9,250,109,1
PmH7,300,109,1
H10Pb,300,109,1
DyH7,250,109,1
H9Pb,300,109,1
NdH5,250,108,1
YbH6,150,108,1
PrH7,150,108,1
BiH7,300,108,1
LaH7,250,108,1
