formula,P,Tc,AD
YH9,150,252,1
YH10,250,243,1
YH10,300,234,1
YH6,100,224,1
LaH10,250,213,1
LaH10,200,205,1
LaH10,300,197,1
YH6,150,197,1
H3S,200,192,1
H3S,250,183,1
H3S,300,178,1
H3S,150,169,1
ScH7,300,168,1
CaH6,150,163,1
ScH9,300,162,1
LaH6,100,155,1
YH9,200,137,1
YH9,100,137,1
AlH5,250,132,1
H3S,100,119,1
ScH10,250,118,1
YH10,200,118,1
ScH8,300,116,1
H3Se,200,114,1
LaH8,300,114,1
H3Se,250,110,1
H3Se,300,109,1
ScH7,250,103,1
ScH6,200,102,1
H8Pb,200,101,1
ScH6,300,101,1
CaH6,200,101,1
CaH6,100,101,1
SbH4,150,101,1
SbH4,200,101,1
ScH9,250,99,1
SbH4,250,98,1
LaH6,150,98,1
BiH5,300,97,1
LaH10,150,97,1
SbH4,300,92,1
BiH6,300,91,1
AlH5,300,89,1
ScH6,100,89,1
ScH4,300,89,1
AlH5,200,89,1
YH4,100,88,1
SnH4,250,88,1
ScH4,100,87,1
AsH8,300,87,1
BiH6,250,86,1
ScH4,250,85,1
BiH5,200,84,1
BiH5,250,84,1
TeH4,200,84,1
ScH10,200,83,1
ScH10,300,83,1
PH3,200,82,1
ScH4,150,82,1
LaH8,250,81,1
ScH4,200,81,1
YH4,150,81,1
TeH4,150,81,1
LiH6,300,80,1
ScH8,250,80,1
BiH6,200,80,1
H3Se,150,79,1
YH6,200,77,1
H8Pb,150,76,1
H8Pb,250,76,1
ScH6,150,76,1
BiH4,150,75,1
H6Se,250,75,1
SbH4,100,73,1
SnH8,200,71,1
BiH4,200,71,1
H5S2,150,71,1
SnH8,250,69,1
PH3,250,68,1
ScH6,250,68,1
TeH4,250,68,1
BiH5,150,68,1
BiH6,150,65,1
BiH4,100,64,1
SnH4,300,64,1
BiH4,250,63,1
YH9,250,63,1
YH10,150,62,1
TeH4,100,62,1
CaH6,250,61,1
SnH4,200,61,1
H2S,200,61,1
LaH6,200,61,1
SnH8,150,61,1
ScH9,200,61,1
ScH7,200,61,1
H5S2,200,61,1
LaH8,200,60,1
