formula,P,Tc,AD
YH7,150,258,1
YH6,300,258,1
YH7,300,258,1
YH7,250,258,1
YH7,100,258,1
YH7,200,258,1
YH6,250,258,1
YH6,200,258,1
YH6,150,258,1
YH6,100,258,1
YH9,200,257,1
YH8,100,257,1
YH8,150,257,1
YH8,200,257,1
YH8,250,257,1
YH9,100,257,1
YH9,150,257,1
YH9,250,257,1
YH10,100,257,1
YH9,300,252,1
YH8,300,252,1
SrH10,250,249,1
SrH10,300,249,1
SrH10,100,249,1
SrH10,200,249,1
SrH10,150,249,1
YH10,300,249,1
YH10,250,249,1
YH10,200,249,1
YH10,150,249,1
GdH10,200,225,1
PmH10,150,225,1
PmH10,200,225,1
PmH10,250,225,1
LaH10,250,225,1
LaH10,200,225,1
LaH10,150,225,1
LaH10,100,225,1
GdH10,250,225,1
LaH9,250,225,1
EuH10,250,225,1
EuH10,200,225,1
PrH10,250,225,1
PrH10,200,225,1
PrH10,150,225,1
EuH10,150,225,1
EuH10,100,225,1
NdH10,250,225,1
EuH9,200,225,1
EuH9,250,225,1
NdH10,300,213,1
PmH10,300,213,1
LaH9,300,213,1
LaH10,300,213,1
SrH8,100,213,1
EuH9,300,213,1
SrH8,150,213,1
SrH8,200,213,1
SrH8,300,213,1
PrH10,300,213,1
TbH10,300,213,1
GdH10,300,213,1
SrH8,250,213,1
EuH10,300,213,1
Ca2H9,250,212,1
Ca2H9,100,212,1
Ca2H9,200,212,1
Ca2H9,150,212,1
SrH9,100,211,1
SrH9,150,211,1
SrH9,250,211,1
SrH9,200,211,1
SrH9,300,205,1
H5S,300,189,1
H3S,250,189,1
H3S,300,189,1
H5S,250,189,1
H4S,250,189,1
H4S,300,189,1
H7S2,250,189,1
H9S2,300,189,1
H9S2,250,189,1
H7S2,300,189,1
H5S,200,186,1
H9S2,200,183,1
H4S,200,183,1
H7S2,200,183,1
H3S,200,183,1
H9S2,150,179,1
H7S2,150,179,1
H5S,150,179,1
H7S2,100,179,1
H9S2,100,179,1
H4S,150,179,1
H4S,100,179,1
H3S,150,179,1
H3S,100,179,1
H5S,100,179,1
CaH8,300,169,1
YH5,300,166,1
YH5,250,166,1
YH5,200,166,1
YH5,150,166,1
Y2H9,100,166,1
Y2H9,150,166,1
Y2H9,200,166,1
Y2H9,250,166,1
Y2H9,300,166,1
YH5,100,166,1
PmH9,300,164,1
PrH9,300,164,1
ScH10,150,158,1
TiH10,100,158,1
ScH10,250,158,1
ScH10,200,158,1
ScH10,100,158,1
ScH9,300,158,1
ScH9,250,158,1
ScH9,200,158,1
TiH10,300,158,1
TiH10,250,158,1
TiH10,200,158,1
TiH10,150,158,1
ScH10,300,158,1
CaH8,100,154,1
CaH8,150,154,1
CaH8,250,154,1
CaH8,200,154,1
CaH6,200,151,1
CaH6,300,147,1
SrH5,100,145,1
SrH5,250,145,1
SrH5,300,145,1
SrH5,200,145,1
ScH9,100,145,1
ScH9,150,145,1
SrH5,150,145,1
