formula,group,  P [GPa],  lambda,  w_log [K],   mu,     Tc [K], reference
 H5S2  ,    1,      100,  1.0786,     902.09, 0.17,   49.5486 ,  https://doi.org/10.1038/srep23160
 H5S2  ,    1,      112,  1.1857,     897.9 , 0.17,   58.3099 ,  https://doi.org/10.1038/srep23160
 H5S2  ,    1,      120,  1.2390,     907.0 , 0.17,   63.2085 ,  https://doi.org/10.1038/srep23160
 H5S2  ,    1,      130,  1.2417,     950.7 , 0.17,   66.4768 ,  https://doi.org/10.1038/srep23160
 H5S2  ,    1,      140,  1.2597,     968.93, 0.17,   69.2659 ,  https://doi.org/10.1038/srep23160
 H5S2  ,    1,      150,  1.3581,     900.87, 0.17,   71.8175 ,  https://doi.org/10.1038/srep23160
 H3S   ,  160,      130,    2.07,     1125.1, 0.13,  155      ,  https://doi.org/10.1038/srep06968
 H3S   ,  160,      130,    2.07,     1125.1, 0.10,  166      ,  https://doi.org/10.1038/srep06968
 H3S   ,  229,      200,    2.19,     1334.6, 0.13,  191      ,  https://doi.org/10.1038/srep06968
 H3S   ,  229,      200,    2.19,     1334.6, 0.10,  204      ,  https://doi.org/10.1038/srep06968
 H3S   ,  229,      250,        ,           , 0.13,  184      ,  https://doi.org/10.1038/srep06968
 H3S   ,  229,      300,        ,           , 0.13,  179      ,  https://doi.org/10.1038/srep06968
 H2S   ,    2,      130,        ,           , 0.13,   33.0104 ,  https://doi.org/10.1063/1.4874158
 H2S   ,    2,      140,        ,           , 0.13,    40     ,  https://doi.org/10.1063/1.4874158
 H2S   ,    2,      150,        ,           , 0.13,    56.1245,  https://doi.org/10.1063/1.4874158
 H2S   ,    2,      158,        ,           , 0.13,    60.2076,  https://doi.org/10.1063/1.4874158
 H2S   ,   64,      160,        ,           , 0.13,    82.1453,  https://doi.org/10.1063/1.4874158
 H2S   ,   64,      170,        ,           , 0.13,    78.1315,  https://doi.org/10.1063/1.4874158
 H2S   ,   64,      180,        ,           , 0.13,    68.2353,  https://doi.org/10.1063/1.4874158
 H4S3  ,   62,      140,    0.42,       834 , 0.16,    0.75   ,  https://doi.org/10.1103/PhysRevB.93.020103
 HS2   ,   15,      200,    0.86,    657.72 , 0.16,   23.4    ,  https://doi.org/10.1103/PhysRevLett.114.157004
 HS2   ,   12,      250,    0.75,    624.08 , 0.16,   14.9    ,  https://doi.org/10.1103/PhysRevLett.114.157004
 HS    ,   12,      300,    0.78,    861.88 , 0.16,   23.4    ,  https://doi.org/10.1103/PhysRevLett.114.157004
 O4H2  ,   58,      100,  0.5649,     800.3 , 0.1 ,   15.1314 ,  By A. Nakanishi
 O4H2  ,   58,      100,  0.5649,     800.3 , 0.13,   10.2054 ,  By A. Nakanishi
 O4H2  ,   58,      100,  0.5649,     800.3 , 0.15,    7.4740 ,  By A. Nakanishi
 O4H2  ,   58,      200,  0.4816,     990.8 , 0.1 ,   10.3380 ,  By A. Nakanishi
 O4H2  ,   58,      200,  0.4816,     990.8 , 0.13,    5.9911 ,  By A. Nakanishi
 O4H2  ,   58,      200,  0.4816,     990.8 , 0.15,    3.8353 ,  By A. Nakanishi
 O4H2  ,   58,      250,  0.4774,    1051.7 , 0.1 ,   10.5722 ,  By A. Nakanishi
 O4H2  ,   58,      250,  0.4774,    1051.7 , 0.13,    6.0633 ,  By A. Nakanishi
 O4H2  ,   58,      250,  0.4774,    1051.7 , 0.15,    3.8448 ,  By A. Nakanishi
 O4H2  ,   58,      300,  0.4524,    1095.0 , 0.1 ,    8.6609 ,  By A. Nakanishi
 O4H2  ,   58,      300,  0.4524,    1095.0 , 0.13,    4.6323 ,  By A. Nakanishi
 O4H2  ,   58,      300,  0.4524,    1095.0 , 0.15,    2.7546 ,  By A. Nakanishi
 O4H2  ,   58,      500,  0.4696,    1277.6 , 0.1 ,   11.9637 ,  By A. Nakanishi
 O4H2  ,   58,      500,  0.4696,    1277.6 , 0.13,    6.7245 ,  By A. Nakanishi
 O4H2  ,   58,      500,  0.4696,    1277.6 , 0.15,    4.1863 ,  By A. Nakanishi
 SiH4  ,   64,       70,        ,           , 0.10,    74.38  ,  https://doi.org/10.1103/PhysRevLett.101.077002
