formula,P,Tc,AD
HPb10,500,189,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,450,189,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,350,188,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,400,188,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,500,187,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,250,187,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,300,187,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPt10,450,186,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,350,186,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,400,186,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,450,186,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,200,186,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,150,186,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HIr10,500,186,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPt10,500,186,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HOs10,500,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPt10,400,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPt10,350,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,250,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,100,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPb10,50,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HIr10,450,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HIr10,400,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,300,185,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,200,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,150,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPt10,200,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPt10,250,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HPt10,300,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HIr10,300,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HOs10,450,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HOs10,400,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HIr10,350,184,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HW10,450,183,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HOs10,250,183,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HIr10,250,183,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HOs10,350,183,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HW10,500,183,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu10,100,183,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HOs10,300,183,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HIr10,200,183,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
