formula,P,Tc,AD
Na2H,300,440,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Na2H,250,438,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Na2H,200,436,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Na2H,150,434,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Na2H,100,431,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
K2H,300,413,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
K2H,250,411,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
K2H,200,409,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
K2H,150,407,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
K2H,100,405,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Li2H,300,389,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Li2H,250,387,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Li2H,200,384,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Li2H,150,382,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Rb2H,300,381,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Li2H,100,380,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Rb2H,250,379,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Rb2H,200,377,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Rb2H,150,375,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Rb2H,100,373,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cs2H,300,354,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cs2H,250,352,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cs2H,200,350,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cs2H,150,348,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cs2H,100,346,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ag2H,300,342,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Al2H,300,340,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ag2H,250,340,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ag2H,200,338,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Al2H,250,338,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Al2H,200,336,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ag2H,150,336,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Al2H,150,334,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ag2H,100,334,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Al2H,100,332,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cu2H,300,320,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cu2H,250,318,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cu2H,200,316,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Be2H,300,315,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cu2H,150,314,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Be2H,250,313,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cu2H,100,312,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Mg2H,300,312,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Be2H,200,311,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Mg2H,250,310,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Be2H,150,309,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Mg2H,200,308,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Be2H,100,307,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Mg2H,150,306,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Mg2H,100,304,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
LuH10,300,263,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,250,261,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,200,259,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,150,257,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,100,255,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH9,300,249,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH9,250,247,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH9,200,245,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH9,150,243,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH9,100,241,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,300,239,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,250,237,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH10,300,237,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,200,235,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH10,250,235,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH8,300,233,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,150,233,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH10,200,233,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH10,150,231,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,100,231,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH8,250,231,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH10,100,229,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH8,200,229,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH8,150,227,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,300,226,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH8,100,225,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,250,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,200,222,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH9,300,222,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,150,220,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH9,250,220,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,100,218,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH9,200,218,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH9,150,216,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
BaH10,300,216,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
BaH10,250,214,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH9,100,214,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH7,300,213,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
BaH10,200,212,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH7,250,211,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Pr2H,300,211,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
BaH10,150,210,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,300,210,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Pr2H,250,209,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ba2H,300,209,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
La2H,300,209,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
LuH7,200,209,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,250,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
BaH10,100,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
La2H,250,207,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ba2H,250,207,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
LuH7,150,207,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Pr2H,200,207,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
YH8,200,206,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH10,300,206,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
La2H,200,205,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Pr2H,150,205,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ba2H,200,205,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
LuH7,100,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,150,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH10,250,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Pr2H,100,203,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
MoH8,300,203,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
La2H,150,203,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ba2H,150,203,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ce2H,300,203,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu2,300,202,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HfH10,300,202,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH10,200,202,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH8,250,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,100,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
La2H,100,201,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ba2H,100,201,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ce2H,250,201,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
BaH9,300,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH10,150,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH10,250,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HAu2,250,200,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
BaH9,250,199,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH8,200,199,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Eu2H,300,199,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ce2H,200,199,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
SrH10,100,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH10,200,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Pm2H,300,198,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu2,200,198,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Si2H,300,198,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ce2H,150,197,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
BaH9,200,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Eu2H,250,197,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
MoH8,150,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH10,150,196,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Pm2H,250,196,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu2,150,196,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Si2H,250,196,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ce2H,100,195,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
SrH9,300,195,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Eu2H,200,195,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
In2H,300,195,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
BaH9,150,195,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH10,100,194,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
MoH8,100,194,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Pm2H,200,194,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HAu2,100,194,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Si2H,200,194,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Eu2H,150,193,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
BaH9,100,193,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH9,250,193,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
In2H,250,193,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Si2H,150,192,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NdH10,300,192,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Pm2H,150,192,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
ZrH10,300,192,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Eu2H,100,191,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
HfH9,300,191,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH9,200,191,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
In2H,200,191,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Pm2H,100,190,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NdH10,250,190,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,250,190,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,300,190,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Si2H,100,190,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
In2H,150,189,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
SmH10,300,189,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH9,150,189,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH9,250,189,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LiH,300,189,[ 1.  1.  1.  1. -1. -1. -1.  1.  1.  1.]
YH7,250,188,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,200,188,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Sr2H,300,188,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
LuH6,300,188,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NdH10,200,188,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
In2H,100,187,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
