,formula,Tc,P,prm0,prm1,prm2,prm3
0,H5S2,49.5486,100.0,1.0,16.0,5.0,2.0
1,H5S2,58.3099,112.0,1.0,16.0,5.0,2.0
2,H5S2,63.2085,120.0,1.0,16.0,5.0,2.0
3,H5S2,66.4768,130.0,1.0,16.0,5.0,2.0
4,H5S2,69.2659,140.0,1.0,16.0,5.0,2.0
5,H5S2,71.8175,150.0,1.0,16.0,5.0,2.0
6,H3S,155.0,130.0,1.0,16.0,3.0,1.0
7,H3S,166.0,130.0,1.0,16.0,3.0,1.0
8,H3S,191.0,200.0,1.0,16.0,3.0,1.0
9,H3S,204.0,200.0,1.0,16.0,3.0,1.0
10,H3S,184.0,250.0,1.0,16.0,3.0,1.0
11,H3S,179.0,300.0,1.0,16.0,3.0,1.0
12,H2S,33.0104,130.0,1.0,16.0,2.0,1.0
13,H2S,40.0,140.0,1.0,16.0,2.0,1.0
14,H2S,56.1245,150.0,1.0,16.0,2.0,1.0
15,H2S,60.2076,158.0,1.0,16.0,2.0,1.0
16,H2S,82.1453,160.0,1.0,16.0,2.0,1.0
17,H2S,78.1315,170.0,1.0,16.0,2.0,1.0
18,H2S,68.2353,180.0,1.0,16.0,2.0,1.0
19,H4S3,0.75,140.0,1.0,16.0,4.0,3.0
20,HS2,23.4,200.0,1.0,16.0,1.0,2.0
21,HS2,14.9,250.0,1.0,16.0,1.0,2.0
22,HS,23.4,300.0,1.0,16.0,1.0,1.0
23,O4H2,15.1314,100.0,8.0,1.0,4.0,2.0
24,O4H2,10.2054,100.0,8.0,1.0,4.0,2.0
25,O4H2,7.474,100.0,8.0,1.0,4.0,2.0
26,O4H2,10.338,200.0,8.0,1.0,4.0,2.0
27,O4H2,5.9911,200.0,8.0,1.0,4.0,2.0
28,O4H2,3.8353,200.0,8.0,1.0,4.0,2.0
29,O4H2,10.5722,250.0,8.0,1.0,4.0,2.0
30,O4H2,6.0633,250.0,8.0,1.0,4.0,2.0
31,O4H2,3.8448,250.0,8.0,1.0,4.0,2.0
32,O4H2,8.6609,300.0,8.0,1.0,4.0,2.0
33,O4H2,4.6323,300.0,8.0,1.0,4.0,2.0
34,O4H2,2.7546,300.0,8.0,1.0,4.0,2.0
35,O4H2,11.9637,500.0,8.0,1.0,4.0,2.0
36,O4H2,6.7245,500.0,8.0,1.0,4.0,2.0
37,O4H2,4.1863,500.0,8.0,1.0,4.0,2.0
38,SiH4,74.38,70.0,14.0,1.0,1.0,4.0
39,SiH4,20.55,150.0,14.0,1.0,1.0,4.0
40,SiH4,27.26,200.0,14.0,1.0,1.0,4.0
41,SiH4,50.41,250.0,14.0,1.0,1.0,4.0
42,SiH4,29.3617,300.0,14.0,1.0,1.0,4.0
43,SiH4,18.2979,340.0,14.0,1.0,1.0,4.0
44,SiH4,13.4043,380.0,14.0,1.0,1.0,4.0
45,SiH4,31.0638,400.0,14.0,1.0,1.0,4.0
46,SiH4,21.9149,500.0,14.0,1.0,1.0,4.0
47,SiH4,21.2766,600.0,14.0,1.0,1.0,4.0
48,SiH4,107.234,610.0,14.0,1.0,1.0,4.0
49,SiH4,97.6596,700.0,14.0,1.0,1.0,4.0
50,SiH4,84.2553,800.0,14.0,1.0,1.0,4.0
51,YH3,37.9856,17.6,39.0,1.0,1.0,3.0
52,YH3,36.3669,23.0,39.0,1.0,1.0,3.0
53,YH3,8.8849,28.9,39.0,1.0,1.0,3.0
54,YH3,6.7626,51.9,39.0,1.0,1.0,3.0
55,YH3,6.1151,62.1,39.0,1.0,1.0,3.0
56,YH3,4.8561,67.5,39.0,1.0,1.0,3.0
57,YH3,3.741,73.1,39.0,1.0,1.0,3.0
58,YH3,34.4604,17.6,39.0,1.0,1.0,3.0
59,YH3,31.8705,23.0,39.0,1.0,1.0,3.0
60,YH3,5.8633,28.9,39.0,1.0,1.0,3.0
