,formula,Tc,P,prm0,prm1,prm2,prm3,prm4,prm5,prm6,prm7,prm8,prm9,prm10,prm11,prm12,prm13,prm14,prm15,prm16,prm17,prm18,prm19,prm20,prm21,prm22,prm23,prm24,prm25,prm26,prm27,prm28,prm29,prm30,prm31,prm32,prm33,prm34,prm35,prm36,prm37,prm38,prm39,prm40,prm41,prm42,prm43,prm44,prm45,prm46,prm47,prm48,prm49
0,H5S2,49.5486,100.0,16.534000000000002,9.88,5.684758570071381,2.708613879263659,0.13641589698392514,0.2610116951055,31.052000000000003,8.44,15.526000000000002,14.02786370050693,11.979222002568001,12.673170003668572,11.8692844046113,12.581656791597231,0.6839839125363545,0.5435476468679089,3.2384240051359985,6.753164289382857,1.6192120025679992,1.4629708407992252,184.0,171.14285714285714,181.5378748360793,169.17933256158324,0.6797960686407377,0.6518266216288497,60.0,48.85714285714286,30.0,27.105237087157537,200.005,120.29285714285713,73.5381533627273,36.13344141506836,0.15179448574223098,0.28649175262716575,371.99,100.27857142857142,185.995,168.0479524008622,3.5,2.4285714285714284,2.449489742783178,1.6685104410268252,0.410116318288409,0.605797499372304,5,0.9999999999999999,2.5,2.2587697572631282
1,H5S2,58.3099,112.0,16.534000000000002,9.88,5.684758570071381,2.708613879263659,0.13641589698392514,0.2610116951055,31.052000000000003,8.44,15.526000000000002,14.02786370050693,11.979222002568001,12.673170003668572,11.8692844046113,12.581656791597231,0.6839839125363545,0.5435476468679089,3.2384240051359985,6.753164289382857,1.6192120025679992,1.4629708407992252,184.0,171.14285714285714,181.5378748360793,169.17933256158324,0.6797960686407377,0.6518266216288497,60.0,48.85714285714286,30.0,27.105237087157537,200.005,120.29285714285713,73.5381533627273,36.13344141506836,0.15179448574223098,0.28649175262716575,371.99,100.27857142857142,185.995,168.0479524008622,3.5,2.4285714285714284,2.449489742783178,1.6685104410268252,0.410116318288409,0.605797499372304,5,0.9999999999999999,2.5,2.2587697572631282
2,H5S2,63.2085,120.0,16.534000000000002,9.88,5.684758570071381,2.708613879263659,0.13641589698392514,0.2610116951055,31.052000000000003,8.44,15.526000000000002,14.02786370050693,11.979222002568001,12.673170003668572,11.8692844046113,12.581656791597231,0.6839839125363545,0.5435476468679089,3.2384240051359985,6.753164289382857,1.6192120025679992,1.4629708407992252,184.0,171.14285714285714,181.5378748360793,169.17933256158324,0.6797960686407377,0.6518266216288497,60.0,48.85714285714286,30.0,27.105237087157537,200.005,120.29285714285713,73.5381533627273,36.13344141506836,0.15179448574223098,0.28649175262716575,371.99,100.27857142857142,185.995,168.0479524008622,3.5,2.4285714285714284,2.449489742783178,1.6685104410268252,0.410116318288409,0.605797499372304,5,0.9999999999999999,2.5,2.2587697572631282
3,H5S2,66.4768,130.0,16.534000000000002,9.88,5.684758570071381,2.708613879263659,0.13641589698392514,0.2610116951055,31.052000000000003,8.44,15.526000000000002,14.02786370050693,11.979222002568001,12.673170003668572,11.8692844046113,12.581656791597231,0.6839839125363545,0.5435476468679089,3.2384240051359985,6.753164289382857,1.6192120025679992,1.4629708407992252,184.0,171.14285714285714,181.5378748360793,169.17933256158324,0.6797960686407377,0.6518266216288497,60.0,48.85714285714286,30.0,27.105237087157537,200.005,120.29285714285713,73.5381533627273,36.13344141506836,0.15179448574223098,0.28649175262716575,371.99,100.27857142857142,185.995,168.0479524008622,3.5,2.4285714285714284,2.449489742783178,1.6685104410268252,0.410116318288409,0.605797499372304,5,0.9999999999999999,2.5,2.2587697572631282
4,H5S2,69.2659,140.0,16.534000000000002,9.88,5.684758570071381,2.708613879263659,0.13641589698392514,0.2610116951055,31.052000000000003,8.44,15.526000000000002,14.02786370050693,11.979222002568001,12.673170003668572,11.8692844046113,12.581656791597231,0.6839839125363545,0.5435476468679089,3.2384240051359985,6.753164289382857,1.6192120025679992,1.4629708407992252,184.0,171.14285714285714,181.5378748360793,169.17933256158324,0.6797960686407377,0.6518266216288497,60.0,48.85714285714286,30.0,27.105237087157537,200.005,120.29285714285713,73.5381533627273,36.13344141506836,0.15179448574223098,0.28649175262716575,371.99,100.27857142857142,185.995,168.0479524008622,3.5,2.4285714285714284,2.449489742783178,1.6685104410268252,0.410116318288409,0.605797499372304,5,0.9999999999999999,2.5,2.2587697572631282
5,H5S2,71.8175,150.0,16.534000000000002,9.88,5.684758570071381,2.708613879263659,0.13641589698392514,0.2610116951055,31.052000000000003,8.44,15.526000000000002,14.02786370050693,11.979222002568001,12.673170003668572,11.8692844046113,12.581656791597231,0.6839839125363545,0.5435476468679089,3.2384240051359985,6.753164289382857,1.6192120025679992,1.4629708407992252,184.0,171.14285714285714,181.5378748360793,169.17933256158324,0.6797960686407377,0.6518266216288497,60.0,48.85714285714286,30.0,27.105237087157537,200.005,120.29285714285713,73.5381533627273,36.13344141506836,0.15179448574223098,0.28649175262716575,371.99,100.27857142857142,185.995,168.0479524008622,3.5,2.4285714285714284,2.449489742783178,1.6685104410268252,0.410116318288409,0.605797499372304,5,0.9999999999999999,2.5,2.2587697572631282
6,H3S,155.0,130.0,16.534000000000002,8.771,5.684758570071381,2.393791268810201,0.13641589698392514,0.29364050690240096,31.052000000000003,7.259,15.526000000000002,13.445910419157196,11.979222002568001,12.788828003852,11.8692844046113,12.704474828354643,0.6839839125363545,0.5038770726163616,3.2384240051359985,7.608823003851999,1.6192120025679992,1.402278728336561,184.0,169.0,181.5378748360793,167.20296864815592,0.6797960686407377,0.6242554327079943,60.0,62.0,30.0,25.98076211353316,200.005,107.0075,73.5381533627273,32.09781189757036,0.15179448574223098,0.32109668264991587,371.99,85.9925,185.995,161.07639497688666,3.5,2.25,2.449489742783178,1.5650845800732873,0.410116318288409,0.6365141682948128,5,0.75,2.5,2.165063509461097
7,H3S,166.0,130.0,16.534000000000002,8.771,5.684758570071381,2.393791268810201,0.13641589698392514,0.29364050690240096,31.052000000000003,7.259,15.526000000000002,13.445910419157196,11.979222002568001,12.788828003852,11.8692844046113,12.704474828354643,0.6839839125363545,0.5038770726163616,3.2384240051359985,7.608823003851999,1.6192120025679992,1.402278728336561,184.0,169.0,181.5378748360793,167.20296864815592,0.6797960686407377,0.6242554327079943,60.0,62.0,30.0,25.98076211353316,200.005,107.0075,73.5381533627273,32.09781189757036,0.15179448574223098,0.32109668264991587,371.99,85.9925,185.995,161.07639497688666,3.5,2.25,2.449489742783178,1.5650845800732873,0.410116318288409,0.6365141682948128,5,0.75,2.5,2.165063509461097
8,H3S,191.0,200.0,16.534000000000002,8.771,5.684758570071381,2.393791268810201,0.13641589698392514,0.29364050690240096,31.052000000000003,7.259,15.526000000000002,13.445910419157196,11.979222002568001,12.788828003852,11.8692844046113,12.704474828354643,0.6839839125363545,0.5038770726163616,3.2384240051359985,7.608823003851999,1.6192120025679992,1.402278728336561,184.0,169.0,181.5378748360793,167.20296864815592,0.6797960686407377,0.6242554327079943,60.0,62.0,30.0,25.98076211353316,200.005,107.0075,73.5381533627273,32.09781189757036,0.15179448574223098,0.32109668264991587,371.99,85.9925,185.995,161.07639497688666,3.5,2.25,2.449489742783178,1.5650845800732873,0.410116318288409,0.6365141682948128,5,0.75,2.5,2.165063509461097
9,H3S,204.0,200.0,16.534000000000002,8.771,5.684758570071381,2.393791268810201,0.13641589698392514,0.29364050690240096,31.052000000000003,7.259,15.526000000000002,13.445910419157196,11.979222002568001,12.788828003852,11.8692844046113,12.704474828354643,0.6839839125363545,0.5038770726163616,3.2384240051359985,7.608823003851999,1.6192120025679992,1.402278728336561,184.0,169.0,181.5378748360793,167.20296864815592,0.6797960686407377,0.6242554327079943,60.0,62.0,30.0,25.98076211353316,200.005,107.0075,73.5381533627273,32.09781189757036,0.15179448574223098,0.32109668264991587,371.99,85.9925,185.995,161.07639497688666,3.5,2.25,2.449489742783178,1.5650845800732873,0.410116318288409,0.6365141682948128,5,0.75,2.5,2.165063509461097
