,formula,  lambda,  w_log [K],   mu,Tc,P,prm0,prm1,prm2,prm3
0,H5S2,  1.0786,     902.09,0.17,49.5486,100.0,1.0,16.0,5.0,2.0
1,H5S2,  1.1857,     897.9 ,0.17,58.3099,112.0,1.0,16.0,5.0,2.0
2,H5S2,  1.2390,     907.0 ,0.17,63.2085,120.0,1.0,16.0,5.0,2.0
3,H5S2,  1.2417,     950.7 ,0.17,66.4768,130.0,1.0,16.0,5.0,2.0
4,H5S2,  1.2597,     968.93,0.17,69.2659,140.0,1.0,16.0,5.0,2.0
5,H5S2,  1.3581,     900.87,0.17,71.8175,150.0,1.0,16.0,5.0,2.0
6,H3S,    2.07,     1125.1,0.13,155.0,130.0,1.0,16.0,3.0,1.0
7,H3S,    2.07,     1125.1,0.1,166.0,130.0,1.0,16.0,3.0,1.0
8,H3S,    2.19,     1334.6,0.13,191.0,200.0,1.0,16.0,3.0,1.0
9,H3S,    2.19,     1334.6,0.1,204.0,200.0,1.0,16.0,3.0,1.0
10,H3S,        ,           ,0.13,184.0,250.0,1.0,16.0,3.0,1.0
11,H3S,        ,           ,0.13,179.0,300.0,1.0,16.0,3.0,1.0
12,H2S,        ,           ,0.13,33.0104,130.0,1.0,16.0,2.0,1.0
13,H2S,        ,           ,0.13,40.0,140.0,1.0,16.0,2.0,1.0
14,H2S,        ,           ,0.13,56.1245,150.0,1.0,16.0,2.0,1.0
15,H2S,        ,           ,0.13,60.2076,158.0,1.0,16.0,2.0,1.0
16,H2S,        ,           ,0.13,82.1453,160.0,1.0,16.0,2.0,1.0
17,H2S,        ,           ,0.13,78.1315,170.0,1.0,16.0,2.0,1.0
18,H2S,        ,           ,0.13,68.2353,180.0,1.0,16.0,2.0,1.0
19,H4S3,    0.42,       834 ,0.16,0.75,140.0,1.0,16.0,4.0,3.0
20,HS2,    0.86,    657.72 ,0.16,23.4,200.0,1.0,16.0,1.0,2.0
21,HS2,    0.75,    624.08 ,0.16,14.9,250.0,1.0,16.0,1.0,2.0
22,HS,    0.78,    861.88 ,0.16,23.4,300.0,1.0,16.0,1.0,1.0
23,O4H2,  0.5649,     800.3 ,0.1,15.1314,100.0,8.0,1.0,4.0,2.0
24,O4H2,  0.5649,     800.3 ,0.13,10.2054,100.0,8.0,1.0,4.0,2.0
25,O4H2,  0.5649,     800.3 ,0.15,7.474,100.0,8.0,1.0,4.0,2.0
26,O4H2,  0.4816,     990.8 ,0.1,10.338,200.0,8.0,1.0,4.0,2.0
27,O4H2,  0.4816,     990.8 ,0.13,5.9911,200.0,8.0,1.0,4.0,2.0
28,O4H2,  0.4816,     990.8 ,0.15,3.8353,200.0,8.0,1.0,4.0,2.0
29,O4H2,  0.4774,    1051.7 ,0.1,10.5722,250.0,8.0,1.0,4.0,2.0
30,O4H2,  0.4774,    1051.7 ,0.13,6.0633,250.0,8.0,1.0,4.0,2.0
31,O4H2,  0.4774,    1051.7 ,0.15,3.8448,250.0,8.0,1.0,4.0,2.0
32,O4H2,  0.4524,    1095.0 ,0.1,8.6609,300.0,8.0,1.0,4.0,2.0
33,O4H2,  0.4524,    1095.0 ,0.13,4.6323,300.0,8.0,1.0,4.0,2.0
34,O4H2,  0.4524,    1095.0 ,0.15,2.7546,300.0,8.0,1.0,4.0,2.0
35,O4H2,  0.4696,    1277.6 ,0.1,11.9637,500.0,8.0,1.0,4.0,2.0
